±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
º¯√¢,≥‚∆Ú±’,,,,,0.014 ,0.009 ,0.008 ,0.008 ,0.008 ,0.007 
¿Âºˆ,≥‚∆Ú±’,,,,,0.007 ,0.006 ,0.007 ,0.006 ,0.006 ,0.006 
µµ∆Ú±’,≥‚∆Ú±’,0.016 ,0.016 ,0.016 ,0.015 ,0.013 ,0.012 ,0.011 ,0.011 ,0.010 ,0.010 
»≠º¯,≥‚∆Ú±’,,,,,,0.012 ,0.009 ,0.010 ,0.009 ,0.009 
ø©ºˆ,≥‚∆Ú±’,0.019 ,0.018 ,0.019 ,0.018 ,0.016 ,0.013 ,0.013 ,0.012 ,0.011 ,0.011 
±§æÁ,≥‚∆Ú±’,0.015 ,0.014 ,0.013 ,0.014 ,0.012 ,0.013 ,0.012 ,0.013 ,0.011 ,0.011 
º¯√µ,≥‚∆Ú±’,0.013 ,0.014 ,0.014 ,0.013 ,0.012 ,0.012 ,0.010 ,0.011 ,0.009 ,0.008 
∏Ò∆˜,≥‚∆Ú±’,0.016 ,0.017 ,0.015 ,0.013 ,0.011 ,0.010 ,0.010 ,0.009 ,0.010 ,0.010 
øµæœ,≥‚∆Ú±’,0.015 ,0.014 ,0.013 ,0.010 ,0.011 ,0.012 ,0.010 ,0.009 ,0.007 ,0.006 
≥™¡÷,≥‚∆Ú±’,,,,,0.012 ,0.011 ,0.010 ,0.011 ,0.009 ,0.008 
¥„æÁ,≥‚∆Ú±’,,,,,0.009 ,0.008 ,0.008 ,0.009 ,0.008 ,0.008 
¿Âº∫,≥‚∆Ú±’,,,,,0.013 ,0.013 ,0.011 ,0.012 ,0.011 ,0.011 
«ÿ≥≤,≥‚∆Ú±’,,,,,0.012 ,0.010 ,0.009 ,0.009 ,0.006 ,0.006 
øµ±§,≥‚∆Ú±’,,,,,0.016 ,0.009 ,0.010 ,0.008 ,0.007 ,0.007 
¿Â»Ô,≥‚∆Ú±’,,,,,,0.008 ,0.008 ,0.008 ,0.007 ,0.006 
¡¯µµ,≥‚∆Ú±’,,,,,,0.005 ,0.005 ,0.005 ,0.005 ,0.005 
øœµµ,≥‚∆Ú±’,,,,,,0.006 ,0.006 ,0.005 ,0.005 ,0.005 
«‘∆Ú,≥‚∆Ú±’,,,,,,0.009 ,0.007 ,0.007 ,0.008 ,0.008 
∞Ì»Ô,≥‚∆Ú±’,,,,,,0.007 ,0.007 ,0.007 ,0.006 ,0.006 
Ω≈æ»,≥‚∆Ú±’,,,,,,0.005 ,0.005 ,0.005 ,0.004 ,0.004 
π´æ»,≥‚∆Ú±’,,,,,,0.007 ,0.006 ,0.007 ,0.006 ,0.006 
∞≠¡¯,≥‚∆Ú±’,,,,,,0.006 ,0.007 ,0.007 ,0.006 ,0.006 
∞Óº∫,≥‚∆Ú±’,,,,,,0.005 ,0.007 ,0.007 ,0.007 ,0.006 
±∏∑ ,≥‚∆Ú±’,,,,,,0.009 ,0.009 ,0.008 ,0.007 ,0.006 
∫∏º∫,≥‚∆Ú±’,,,,,,0.008 ,0.007 ,0.007 ,0.007 ,0.006 
µµ∆Ú±’,≥‚∆Ú±’,0.016 ,0.016 ,0.015 ,0.014 ,0.013 ,0.011 ,0.010 ,0.009 ,0.009 ,0.008 
øµ¥ˆ,≥‚∆Ú±’,,,,,,,0.005 ,0.005 ,0.006 ,0.005 
øµ√µ,≥‚∆Ú±’,,,,,,0.015 ,0.012 ,0.013 ,0.012 ,0.011 
¿«º∫,≥‚∆Ú±’,,,,,,,0.010 ,0.009 ,0.008 ,0.007 
øÔ∏™µµ,≥‚∆Ú±’,,,,,,0.006 ,0.006 ,0.006 ,0.006 ,0.006 
∆˜«◊,≥‚∆Ú±’,0.015 ,0.017 ,0.015 ,0.014 ,0.014 ,0.015 ,0.014 ,0.013 ,0.012 ,0.013 
±∏πÃ,≥‚∆Ú±’,0.020 ,0.026 ,0.021 ,0.017 ,0.017 ,0.016 ,0.014 ,0.014 ,0.013 ,0.013 
±Ë√µ,≥‚∆Ú±’,0.015 ,0.015 ,0.012 ,0.013 ,0.011 ,0.011 ,0.012 ,0.012 ,0.012 ,0.012 
∞Ê¡÷,≥‚∆Ú±’,0.020 ,0.021 ,0.016 ,0.015 ,0.018 ,0.015 ,0.011 ,0.011 ,0.011 ,0.011 
æ»µø,≥‚∆Ú±’,0.013 ,0.014 ,0.017 ,0.015 ,0.014 ,0.009 ,0.011 ,0.010 ,0.010 ,0.010 
øµ¡÷,≥‚∆Ú±’,0.019 ,0.017 ,0.017 ,0.014 ,0.013 ,0.015 ,0.010 ,0.007 ,0.011 ,0.011 
∞ÊªÍ,≥‚∆Ú±’,0.023 ,0.023 ,0.018 ,0.014 ,0.011 ,0.010 ,0.008 ,0.008 ,0.010 ,0.010 
ªÛ¡÷,≥‚∆Ú±’,,,,,0.012 ,0.012 ,0.011 ,0.011 ,0.010 ,0.008 
ƒ•∞Ó,≥‚∆Ú±’,,,,,0.018 ,0.017 ,0.013 ,0.016 ,0.015 ,0.012 
øÔ¡¯,≥‚∆Ú±’,,,,,,0.008 ,0.007 ,0.007 ,0.007 ,0.007 
∫¿»≠,≥‚∆Ú±’,,,,,,0.006 ,0.007 ,0.007 ,0.007 ,0.007 
∞Ì∑…,≥‚∆Ú±’,,,,,,0.010 ,0.008 ,0.005 ,0.007 ,0.007 
±∫¿ß,≥‚∆Ú±’,,,,,,,0.007 ,0.006 ,0.006 ,0.007 
º∫¡÷,≥‚∆Ú±’,,,,,,,0.015 ,0.013 ,0.013 ,0.014 
øπ√µ,≥‚∆Ú±’,,,,,,,0.008 ,0.008 ,0.007 ,0.007 
√ªµµ,≥‚∆Ú±’,,,,,,,0.009 ,0.009 ,0.009 ,0.008 
√ªº€,≥‚∆Ú±’,,,,,,,0.006 ,0.006 ,0.005 ,0.005 
øµæÁ,≥‚∆Ú±’,,,,,,,0.006 ,0.005 ,0.006 ,0.005 
πÆ∞Ê,≥‚∆Ú±’,,,,,,,0.013 ,0.013 ,0.012 ,0.013 
µµ∆Ú±’,≥‚∆Ú±’,0.017 ,0.018 ,0.017 ,0.015 ,0.015 ,0.014 ,0.011 ,0.010 ,0.010 ,0.010 
√¢ø¯,≥‚∆Ú±’,0.023 ,0.021 ,0.021 ,0.021 ,0.020 ,0.020 ,0.017 ,0.017 ,0.017 ,0.017 
∏∂ªÍ,≥‚∆Ú±’,0.021 ,,,,,,,,,
¡¯¡÷,≥‚∆Ú±’,0.020 ,0.019 ,0.018 ,0.016 ,0.014 ,0.014 ,0.013 ,0.015 ,0.015 ,0.015 
¡¯«ÿ,≥‚∆Ú±’,0.019 ,,,,,,,,,
«œµø,≥‚∆Ú±’,0.010 ,0.009 ,0.010 ,0.010 ,0.010 ,0.008 ,0.009 ,0.009 ,0.009 ,0.010 
±Ë«ÿ,≥‚∆Ú±’,0.020 ,0.019 ,0.021 ,0.019 ,0.021 ,0.018 ,0.016 ,0.018 ,0.017 ,0.019 
æÁªÍ,≥‚∆Ú±’,0.024 ,0.019 ,0.023 ,0.022 ,0.021 ,0.020 ,0.018 ,0.017 ,0.016 ,0.017 
∞≈¡¶,≥‚∆Ú±’,0.015 ,0.017 ,0.015 ,0.015 ,0.016 ,0.016 ,0.013 ,0.009 ,0.011 ,0.010 
ªÁ√µ,≥‚∆Ú±’,0.016 ,0.015 ,0.014 ,0.018 ,0.014 ,0.014 ,0.011 ,0.010 ,0.012 ,0.013 
π–æÁ,≥‚∆Ú±’,,,,0.014 ,0.016 ,0.016 ,0.014 ,0.013 ,0.012 ,0.012 
≈Îøµ,≥‚∆Ú±’,,,,0.017 ,0.016 ,0.017 ,0.015 ,0.014 ,0.014 ,0.013 
∞Ìº∫,≥‚∆Ú±’,,,,,,0.013 ,0.011 ,0.011 ,0.011 ,0.010 
∞≈√¢,≥‚∆Ú±’,,,,,,0.014 ,0.012 ,0.011 ,0.013 ,0.012 
«‘æ»,≥‚∆Ú±’,,,,,,0.013 ,0.011 ,0.011 ,0.011 ,0.010 
«‘æÁ,≥‚∆Ú±’,,,,,,0.010 ,0.009 ,0.009 ,0.009 ,0.009 
≥≤«ÿ,≥‚∆Ú±’,,,,,,0.010 ,0.009 ,0.008 ,0.009 ,0.008 
ªÍ√ª,≥‚∆Ú±’,,,,,,0.014 ,0.009 ,0.009 ,0.009 ,0.008 
¿«∑…,≥‚∆Ú±’,,,,,,0.013 ,0.009 ,0.008 ,0.008 ,0.011 
√¢≥Á,≥‚∆Ú±’,,,,,,0.019 ,0.013 ,0.013 ,0.012 ,0.013 
«’√µ,≥‚∆Ú±’,,,,,,0.012 ,0.009 ,0.011 ,0.009 ,0.009 
µµ∆Ú±’,≥‚∆Ú±’,0.020 ,0.019 ,0.020 ,0.019 ,0.018 ,0.016 ,0.014 ,0.013 ,0.014 ,0.014 
¡¶¡÷,≥‚∆Ú±’,0.010 ,0.012 ,0.014 ,0.013 ,0.012 ,0.013 ,0.011 ,0.009 ,0.008 ,0.008 
º≠±Õ∆˜,≥‚∆Ú±’,0.010 ,0.011 ,0.010 ,0.008 ,0.007 ,0.007 ,0.006 ,0.006 ,0.006 ,0.005 
µµ∆Ú±’,≥‚∆Ú±’,0.010 ,0.011 ,0.013 ,0.011 ,0.009 ,0.009 ,0.008 ,0.008 ,0.007 ,0.007 
