±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
»≠º∫,≥‚∆Ú±’,0.0042 ,0.0047 ,0.0051 ,0.0043 ,0.0036 ,0.0048 ,0.0039 ,0.0038 ,0.0026 ,0.0032 
æÁ¡÷,≥‚∆Ú±’,0.0056 ,0.0051 ,0.0043 ,0.0045 ,0.0043 ,0.0032 ,0.0032 ,0.0035 ,0.0023 ,0.0029 
µøµŒ√µ,≥‚∆Ú±’,0.0057 ,0.0055 ,0.0050 ,0.0047 ,0.0041 ,0.0040 ,0.0043 ,0.0035 ,0.0027 ,0.0026 
æ»º∫,≥‚∆Ú±’,0.0051 ,0.0042 ,0.0043 ,0.0040 ,0.0034 ,0.0026 ,0.0023 ,0.0023 ,0.0021 ,0.0016 
¿Ã√µ,≥‚∆Ú±’,0.0056 ,0.0052 ,0.0045 ,0.0051 ,0.0041 ,0.0036 ,0.0038 ,0.0030 ,0.0023 ,0.0029 
∆ƒ¡÷,≥‚∆Ú±’,0.0048 ,0.0046 ,0.0041 ,0.0039 ,0.0032 ,0.0030 ,0.0025 ,0.0024 ,0.0023 ,0.0024 
∆˜√µ,≥‚∆Ú±’,0.0049 ,0.0045 ,0.0040 ,0.0045 ,0.0040 ,0.0041 ,0.0034 ,0.0033 ,0.0024 ,0.0025 
ø©¡÷,≥‚∆Ú±’,0.0050 ,0.0052 ,0.0046 ,0.0043 ,0.0041 ,0.0038 ,0.0035 ,0.0033 ,0.0023 ,0.0026 
ø¨√µ,≥‚∆Ú±’,0.0042 ,0.0041 ,0.0037 ,0.0040 ,0.0033 ,0.0033 ,0.0032 ,0.0033 ,0.0018 ,0.0017 
∞°∆Ú,≥‚∆Ú±’,0.0047 ,0.0038 ,0.0037 ,0.0038 ,0.0033 ,0.0034 ,0.0027 ,0.0023 ,0.0020 ,0.0017 
æÁ∆Ú,≥‚∆Ú±’,0.0035 ,0.0034 ,0.0028 ,0.0029 ,0.0027 ,0.0023 ,0.0021 ,0.0024 ,0.0022 ,0.0020 
µµ∆Ú±’,≥‚∆Ú±’,0.0055 ,0.0050 ,0.0047 ,0.0045 ,0.0038 ,0.0038 ,0.0032 ,0.0031 ,0.0022 ,0.0024 
æÁ±∏,≥‚∆Ú±’,,,,,,0.0018 ,0.0021 ,0.0018 ,0.0020 ,0.0019 
∞Ìº∫,≥‚∆Ú±’,,,,,0.0020 ,0.0022 ,0.0018 ,0.0019 ,0.0020 ,0.0018 
¡§º±,≥‚∆Ú±’,,,,,,0.0023 ,0.0023 ,0.0023 ,0.0020 ,0.0020 
»æº∫,≥‚∆Ú±’,,,,,0.0020 ,0.0017 ,0.0023 ,0.0017 ,0.0018 ,0.0018 
√·√µ,≥‚∆Ú±’,0.0041 ,0.0038 ,,0.0030 ,0.0032 ,0.0028 ,0.0025 ,0.0026 ,0.0023 ,0.0021 
∞≠∏™,≥‚∆Ú±’,0.0039 ,0.0040 ,0.0033 ,0.0030 ,0.0032 ,0.0023 ,0.0025 ,0.0026 ,0.0024 ,0.0021 
ø¯¡÷,≥‚∆Ú±’,0.0057 ,0.0051 ,0.0042 ,0.0035 ,0.0032 ,0.0028 ,0.0028 ,0.0026 ,0.0026 ,0.0025 
µø«ÿ,≥‚∆Ú±’,0.0043 ,0.0035 ,0.0025 ,0.0026 ,0.0023 ,0.0022 ,0.0018 ,0.0020 ,0.0020 ,0.0016 
ªÔ√¥,≥‚∆Ú±’,0.0041 ,0.0037 ,0.0032 ,0.0026 ,0.0024 ,0.0024 ,0.0026 ,0.0028 ,0.0019 ,0.0016 
∆Ú√¢,≥‚∆Ú±’,,,,,0.0013 ,0.0019 ,0.0022 ,0.0020 ,0.0020 ,0.0017 
æÁæÁ,≥‚∆Ú±’,,,,,,0.0023 ,0.0024 ,0.0018 ,0.0020 ,0.0018 
º”√ ,≥‚∆Ú±’,,,,,,0.0044 ,0.0036 ,0.0031 ,0.0023 ,0.0027 
øµø˘,≥‚∆Ú±’,,,,,,0.0023 ,0.0030 ,0.0022 ,0.0023 ,0.0020 
√∂ø¯,≥‚∆Ú±’,,,,,,0.0035 ,0.0033 ,0.0038 ,0.0023 ,0.0023 
»´√µ,≥‚∆Ú±’,,,,,,0.0027 ,0.0030 ,0.0031 ,0.0021 ,0.0022 
»≠√µ,≥‚∆Ú±’,,,,,,0.0015 ,0.0018 ,0.0016 ,0.0019 ,0.0020 
≈¬πÈ,≥‚∆Ú±’,,,,,,0.0027 ,0.0030 ,0.0026 ,0.0024 ,0.0026 
¿Œ¡¶,≥‚∆Ú±’,,,,,,0.0024 ,0.0019 ,0.0020 ,0.0018 ,0.0017 
µµ∆Ú±’,≥‚∆Ú±’,0.0046 ,0.0041 ,0.0035 ,0.0032 ,0.0026 ,0.0025 ,0.0025 ,0.0024 ,0.0023 ,0.0021 
±´ªÍ,≥‚∆Ú±’,,,,,,0.0035 ,0.0030 ,0.0033 ,0.0025 ,0.0028 
¿Ωº∫,≥‚∆Ú±’,,,,,,0.0031 ,0.0030 ,0.0021 ,0.0020 ,0.0017 
√ª¡÷,≥‚∆Ú±’,0.0035 ,0.0038 ,0.0037 ,0.0033 ,0.0036 ,0.0032 ,0.0032 ,0.0022 ,0.0020 ,0.0018 
√Ê¡÷,≥‚∆Ú±’,0.0043 ,0.0043 ,0.0034 ,0.0027 ,0.0035 ,0.0035 ,0.0031 ,0.0022 ,0.0020 ,0.0020 
¡¶√µ,≥‚∆Ú±’,0.0052 ,0.0044 ,0.0037 ,0.0038 ,0.0052 ,0.0040 ,0.0033 ,0.0025 ,0.0023 ,0.0019 
√ªø¯,≥‚∆Ú±’,0.0038 ,0.0060 ,,,,,,,,
¥‹æÁ,≥‚∆Ú±’,0.0038 ,0.0033 ,0.0038 ,0.0043 ,0.0034 ,0.0031 ,0.0028 ,0.0025 ,0.0023 ,0.0025 
¡¯√µ,≥‚∆Ú±’,,,0.0023 ,0.0030 ,0.0035 ,0.0027 ,0.0028 ,0.0028 ,0.0021 ,0.0022 
ø¡√µ,≥‚∆Ú±’,,,,0.0028 ,0.0032 ,0.0033 ,0.0032 ,0.0022 ,0.0018 ,0.0016 
øµµø,≥‚∆Ú±’,,,,,0.0031 ,0.0032 ,0.0031 ,0.0023 ,0.0020 ,0.0017 
¡ı∆Ú,≥‚∆Ú±’,,,,,0.0021 ,0.0023 ,0.0028 ,0.0019 ,0.0020 ,0.0020 
∫∏¿∫,≥‚∆Ú±’,,,,,,0.0032 ,0.0031 ,0.0029 ,0.0023 ,0.0024 
µµ∆Ú±’,≥‚∆Ú±’,0.0038 ,0.0039 ,0.0035 ,0.0033 ,0.0036 ,0.0033 ,0.0030 ,0.0022 ,0.0021 ,0.0020 
√µæ»,≥‚∆Ú±’,0.0043 ,0.0033 ,0.0033 ,0.0029 ,0.0036 ,0.0037 ,0.0033 ,0.0037 ,0.0030 ,0.0029 
¥Á¡¯,≥‚∆Ú±’,0.0038 ,0.0034 ,0.0035 ,0.0036 ,0.0064 ,0.0063 ,0.0047 ,0.0048 ,0.0043 ,0.0037 
º≠ªÍ,≥‚∆Ú±’,0.0048 ,0.0044 ,0.0044 ,0.0044 ,0.0044 ,0.0048 ,0.0035 ,0.0041 ,0.0032 ,0.0030 
æ∆ªÍ,≥‚∆Ú±’,0.0048 ,0.0043 ,0.0033 ,0.0031 ,0.0038 ,0.0038 ,0.0036 ,0.0038 ,0.0034 ,0.0032 
≥ÌªÍ,≥‚∆Ú±’,,,,0.0023 ,0.0032 ,0.0029 ,0.0033 ,0.0033 ,0.0028 ,0.0027 
≈¬æ»,≥‚∆Ú±’,,,,0.0030 ,0.0036 ,0.0040 ,0.0033 ,0.0036 ,0.0029 ,0.0028 
∫∏∑…,≥‚∆Ú±’,,,,0.0032 ,0.0035 ,0.0043 ,0.0037 ,0.0038 ,0.0030 ,0.0030 
»´º∫,≥‚∆Ú±’,,,,0.0033 ,0.0034 ,0.0039 ,0.0033 ,0.0031 ,0.0030 ,0.0029 
∞¯¡÷,≥‚∆Ú±’,,,,0.0027 ,0.0032 ,0.0030 ,0.0035 ,0.0038 ,0.0031 ,0.0030 
∫Œø©,≥‚∆Ú±’,,,,0.0023 ,0.0029 ,0.0034 ,0.0028 ,0.0030 ,0.0028 ,0.0025 
√ªæÁ,≥‚∆Ú±’,,,,,0.0033 ,0.0039 ,0.0033 ,0.0036 ,0.0032 ,0.0030 
±›ªÍ,≥‚∆Ú±’,,,,,0.0030 ,0.0031 ,0.0033 ,0.0037 ,0.0030 ,0.0033 
øπªÍ,≥‚∆Ú±’,,,,0.0032 ,0.0043 ,0.0042 ,0.0038 ,0.0046 ,0.0033 ,0.0032 
∞Ë∑Ê,≥‚∆Ú±’,,,,,0.0028 ,0.0029 ,0.0033 ,0.0035 ,0.0028 ,0.0027 
º≠√µ,≥‚∆Ú±’,,,,,0.0030 ,0.0027 ,0.0033 ,0.0031 ,0.0029 ,0.0026 
µµ∆Ú±’,≥‚∆Ú±’,0.0044 ,0.0039 ,0.0036 ,0.0037 ,0.0038 ,0.0038 ,0.0033 ,0.0038 ,0.0032 ,0.0030 
¿”Ω«,≥‚∆Ú±’,,,,,0.0030 ,0.0038 ,0.0035 ,0.0033 ,0.0036 ,0.0022 
¿¸¡÷,≥‚∆Ú±’,0.0042 ,0.0055 ,0.0046 ,0.0045 ,0.0046 ,0.0042 ,0.0032 ,0.0021 ,0.0021 ,0.0023 
±∫ªÍ,≥‚∆Ú±’,0.0054 ,0.0045 ,0.0052 ,0.0046 ,0.0041 ,0.0045 ,0.0037 ,0.0035 ,0.0028 ,0.0021 
¿ÕªÍ,≥‚∆Ú±’,0.0050 ,0.0038 ,0.0048 ,0.0044 ,0.0043 ,0.0029 ,0.0024 ,0.0028 ,0.0031 ,0.0024 
≥≤ø¯,≥‚∆Ú±’,0.0043 ,0.0042 ,0.0034 ,0.0028 ,0.0027 ,0.0023 ,0.0022 ,0.0021 ,0.0020 ,0.0025 
¡§¿æ,≥‚∆Ú±’,0.0023 ,0.0021 ,0.0027 ,0.0027 ,0.0030 ,0.0024 ,0.0022 ,0.0023 ,0.0023 ,0.0021 
∞Ì√¢,≥‚∆Ú±’,0.0043 ,0.0032 ,0.0034 ,0.0035 ,0.0032 ,0.0025 ,0.0029 ,0.0030 ,0.0027 ,0.0021 
∫Œæ»,≥‚∆Ú±’,,0.0024 ,0.0035 ,0.0032 ,0.0039 ,0.0029 ,0.0023 ,0.0020 ,0.0021 ,0.0017 
±Ë¡¶,≥‚∆Ú±’,,,0.0034 ,0.0031 ,0.0032 ,0.0025 ,0.0021 ,0.0020 ,0.0020 ,0.0017 
øœ¡÷,≥‚∆Ú±’,,,,,0.0029 ,0.0023 ,0.0022 ,0.0020 ,0.0020 ,0.0015 
¡¯æ»,≥‚∆Ú±’,,,,,0.0025 ,0.0020 ,0.0020 ,0.0019 ,0.0020 ,0.0016 
π´¡÷,≥‚∆Ú±’,,,,,0.0030 ,0.0033 ,0.0033 ,0.0028 ,0.0028 ,0.0022 
º¯√¢,≥‚∆Ú±’,,,,,0.0035 ,0.0034 ,0.0032 ,0.0040 ,0.0027 ,0.0023 
¿Âºˆ,≥‚∆Ú±’,,,,,0.0030 ,0.0038 ,0.0027 ,0.0031 ,0.0023 ,0.0021 
µµ∆Ú±’,≥‚∆Ú±’,0.0044 ,0.0041 ,0.0043 ,0.0040 ,0.0038 ,0.0034 ,0.0030 ,0.0027 ,0.0024 ,0.0021 
»≠º¯,≥‚∆Ú±’,,,,,,0.0026 ,0.0023 ,0.0028 ,0.0033 ,0.0032 
ø©ºˆ,≥‚∆Ú±’,0.0069 ,0.0068 ,0.0068 ,0.0062 ,0.0062 ,0.0052 ,0.0038 ,0.0035 ,0.0032 ,0.0029 
±§æÁ,≥‚∆Ú±’,0.0064 ,0.0067 ,0.0066 ,0.0063 ,0.0067 ,0.0053 ,0.0039 ,0.0040 ,0.0035 ,0.0035 
º¯√µ,≥‚∆Ú±’,0.0041 ,0.0039 ,0.0040 ,0.0044 ,0.0042 ,0.0041 ,0.0035 ,0.0026 ,0.0023 ,0.0023 
∏Ò∆˜,≥‚∆Ú±’,0.0047 ,0.0040 ,0.0039 ,0.0029 ,0.0032 ,0.0036 ,0.0024 ,0.0023 ,0.0026 ,0.0026 
øµæœ,≥‚∆Ú±’,0.0048 ,0.0048 ,0.0045 ,0.0043 ,0.0043 ,0.0044 ,0.0038 ,0.0028 ,0.0027 ,0.0023 
≥™¡÷,≥‚∆Ú±’,,,,,0.0034 ,0.0032 ,0.0025 ,0.0023 ,0.0023 ,0.0020 
¥„æÁ,≥‚∆Ú±’,,,,,0.0033 ,0.0030 ,0.0030 ,0.0027 ,0.0025 ,0.0022 
¿Âº∫,≥‚∆Ú±’,,,,,0.0029 ,0.0043 ,0.0034 ,0.0029 ,0.0030 ,0.0024 
«ÿ≥≤,≥‚∆Ú±’,,,,,0.0065 ,0.0048 ,0.0033 ,0.0030 ,0.0028 ,0.0028 
øµ±§,≥‚∆Ú±’,,,,,0.0030 ,0.0033 ,0.0028 ,0.0025 ,0.0023 ,0.0022 
¿Â»Ô,≥‚∆Ú±’,,,,,,0.0033 ,0.0028 ,0.0025 ,0.0020 ,0.0018 
¡¯µµ,≥‚∆Ú±’,,,,,,0.0026 ,0.0021 ,0.0022 ,0.0024 ,0.0026 
øœµµ,≥‚∆Ú±’,,,,,,0.0028 ,0.0022 ,0.0026 ,0.0026 ,0.0025 
«‘∆Ú,≥‚∆Ú±’,,,,,,0.0021 ,0.0019 ,0.0026 ,0.0024 ,0.0025 
∞Ì»Ô,≥‚∆Ú±’,,,,,,0.0023 ,0.0020 ,0.0020 ,0.0027 ,0.0023 
Ω≈æ»,≥‚∆Ú±’,,,,,,0.0040 ,0.0035 ,0.0025 ,0.0023 ,0.0020 
π´æ»,≥‚∆Ú±’,,,,,,0.0037 ,0.0032 ,0.0028 ,0.0021 ,0.0020 
∞≠¡¯,≥‚∆Ú±’,,,,,,0.0027 ,0.0026 ,0.0027 ,0.0029 ,0.0029 
∞Óº∫,≥‚∆Ú±’,,,,,,0.0030 ,0.0022 ,0.0023 ,0.0025 ,0.0024 
±∏∑ ,≥‚∆Ú±’,,,,,,0.0030 ,0.0030 ,0.0028 ,0.0023 ,0.0023 
∫∏º∫,≥‚∆Ú±’,,,,,,0.0030 ,0.0021 ,0.0026 ,0.0029 ,0.0025 
µµ∆Ú±’,≥‚∆Ú±’,0.0055 ,0.0055 ,0.0055 ,0.0053 ,0.0049 ,0.0043 ,0.0031 ,0.0030 ,0.0030 ,0.0026 
øµ¥ˆ,≥‚∆Ú±’,,,,,,,0.0020 ,0.0020 ,0.0023 ,0.0022 
øµ√µ,≥‚∆Ú±’,,,,,,0.0038 ,0.0039 ,0.0032 ,0.0027 ,0.0025 
¿«º∫,≥‚∆Ú±’,,,,,,,0.0035 ,0.0034 ,0.0030 ,0.0026 
øÔ∏™µµ,≥‚∆Ú±’,,,,,,0.0016 ,0.0022 ,0.0018 ,0.0015 ,0.0021 
∆˜«◊,≥‚∆Ú±’,0.0052 ,0.0066 ,0.0053 ,0.0050 ,0.0044 ,0.0039 ,0.0040 ,0.0037 ,0.0029 ,0.0030 
±∏πÃ,≥‚∆Ú±’,0.0047 ,0.0077 ,0.0035 ,0.0037 ,0.0032 ,0.0031 ,0.0028 ,0.0027 ,0.0023 ,0.0020 
±Ë√µ,≥‚∆Ú±’,0.0038 ,0.0041 ,0.0029 ,0.0030 ,0.0035 ,0.0025 ,0.0027 ,0.0025 ,0.0030 ,0.0025 
∞Ê¡÷,≥‚∆Ú±’,0.0072 ,0.0052 ,0.0048 ,0.0042 ,0.0041 ,0.0040 ,0.0039 ,0.0035 ,0.0032 ,0.0032 
æ»µø,≥‚∆Ú±’,0.0033 ,0.0038 ,0.0043 ,0.0049 ,0.0046 ,0.0025 ,0.0027 ,0.0021 ,0.0023 ,0.0021 
øµ¡÷,≥‚∆Ú±’,0.0083 ,0.0082 ,0.0062 ,0.0063 ,0.0056 ,0.0037 ,0.0031 ,0.0025 ,0.0036 ,0.0032 
∞ÊªÍ,≥‚∆Ú±’,0.0053 ,0.0041 ,0.0040 ,0.0038 ,0.0038 ,0.0040 ,0.0034 ,0.0038 ,0.0031 ,0.0029 
ªÛ¡÷,≥‚∆Ú±’,,,,,0.0033 ,0.0029 ,0.0037 ,0.0031 ,0.0024 ,0.0021 
ƒ•∞Ó,≥‚∆Ú±’,,,,,0.0035 ,0.0033 ,0.0033 ,0.0040 ,0.0032 ,0.0028 
øÔ¡¯,≥‚∆Ú±’,,,,,,0.0030 ,0.0030 ,0.0026 ,0.0023 ,0.0022 
∫¿»≠,≥‚∆Ú±’,,,,,,0.0075 ,0.0083 ,0.0054 ,0.0050 ,0.0046 
∞Ì∑…,≥‚∆Ú±’,,,,,,0.0033 ,0.0040 ,0.0030 ,0.0026 ,0.0024 
±∫¿ß,≥‚∆Ú±’,,,,,,,0.0029 ,0.0026 ,0.0023 ,0.0016 
º∫¡÷,≥‚∆Ú±’,,,,,,,0.0025 ,0.0028 ,0.0027 ,0.0022 
øπ√µ,≥‚∆Ú±’,,,,,,,0.0031 ,0.0027 ,0.0023 ,0.0022 
√ªµµ,≥‚∆Ú±’,,,,,,,0.0032 ,0.0030 ,0.0023 ,0.0023 
√ªº€,≥‚∆Ú±’,,,,,,,0.0029 ,0.0028 ,0.0024 ,0.0019 
øµæÁ,≥‚∆Ú±’,,,,,,,0.0026 ,0.0026 ,0.0023 ,0.0019 
πÆ∞Ê,≥‚∆Ú±’,,,,,,,0.0039 ,0.0035 ,0.0027 ,0.0026 
µµ∆Ú±’,≥‚∆Ú±’,0.0053 ,0.0059 ,0.0048 ,0.0043 ,0.0038 ,0.0035 ,0.0034 ,0.0032 ,0.0028 ,0.0027 
√¢ø¯,≥‚∆Ú±’,0.0046 ,0.0044 ,0.0044 ,0.0046 ,0.0039 ,0.0037 ,0.0030 ,0.0030 ,0.0030 ,0.0028 
∏∂ªÍ,≥‚∆Ú±’,0.0040 ,,,,,,,,,
¡¯¡÷,≥‚∆Ú±’,0.0046 ,0.0041 ,0.0043 ,0.0047 ,0.0042 ,0.0034 ,0.0036 ,0.0036 ,0.0034 ,0.0029 
¡¯«ÿ,≥‚∆Ú±’,0.0050 ,,,,,,,,,
«œµø,≥‚∆Ú±’,0.0039 ,0.0035 ,0.0040 ,0.0043 ,0.0039 ,0.0034 ,0.0032 ,0.0030 ,0.0033 ,0.0034 
±Ë«ÿ,≥‚∆Ú±’,0.0036 ,0.0043 ,0.0038 ,0.0038 ,0.0043 ,0.0036 ,0.0032 ,0.0032 ,0.0031 ,0.0029 
æÁªÍ,≥‚∆Ú±’,0.0051 ,0.0046 ,0.0049 ,0.0049 ,0.0046 ,0.0041 ,0.0036 ,0.0033 ,0.0030 ,0.0028 
∞≈¡¶,≥‚∆Ú±’,0.0043 ,0.0057 ,0.0053 ,0.0052 ,0.0029 ,0.0025 ,0.0029 ,0.0032 ,0.0032 ,0.0026 
ªÁ√µ,≥‚∆Ú±’,0.0057 ,0.0055 ,0.0041 ,0.0049 ,0.0048 ,0.0044 ,0.0036 ,0.0033 ,0.0034 ,0.0034 
π–æÁ,≥‚∆Ú±’,,,,0.0030 ,0.0032 ,0.0033 ,0.0031 ,0.0037 ,0.0031 ,0.0030 
≈Îøµ,≥‚∆Ú±’,,,,0.0020 ,0.0032 ,0.0031 ,0.0028 ,0.0030 ,0.0031 ,0.0028 
∞Ìº∫,≥‚∆Ú±’,,,,,,0.0028 ,0.0029 ,0.0028 ,0.0028 ,0.0024 
∞≈√¢,≥‚∆Ú±’,,,,,,0.0019 ,0.0025 ,0.0022 ,0.0023 ,0.0022 
«‘æ»,≥‚∆Ú±’,,,,,,0.0025 ,0.0026 ,0.0025 ,0.0027 ,0.0024 
«‘æÁ,≥‚∆Ú±’,,,,,,0.0023 ,0.0023 ,0.0023 ,0.0026 ,0.0022 
≥≤«ÿ,≥‚∆Ú±’,,,,,,0.0036 ,0.0030 ,0.0030 ,0.0029 ,0.0026 
ªÍ√ª,≥‚∆Ú±’,,,,,,0.0025 ,0.0028 ,0.0028 ,0.0028 ,0.0027 
¿«∑…,≥‚∆Ú±’,,,,,,0.0030 ,0.0027 ,0.0028 ,0.0027 ,0.0026 
√¢≥Á,≥‚∆Ú±’,,,,,,0.0040 ,0.0033 ,0.0031 ,0.0031 ,0.0031 
«’√µ,≥‚∆Ú±’,,,,,,0.0030 ,0.0027 ,0.0030 ,0.0031 ,0.0027 
µµ∆Ú±’,≥‚∆Ú±’,0.0044 ,0.0043 ,0.0043 ,0.0044 ,0.0040 ,0.0035 ,0.0030 ,0.0030 ,0.0030 ,0.0028 
¡¶¡÷,≥‚∆Ú±’,0.0026 ,0.0028 ,0.0033 ,0.0028 ,0.0029 ,0.0028 ,0.0018 ,0.0018 ,0.0014 ,0.0017 
º≠±Õ∆˜,≥‚∆Ú±’,0.0019 ,0.0038 ,0.0023 ,0.0013 ,0.0023 ,0.0018 ,0.0011 ,0.0010 ,0.0010 ,0.0013 
µµ∆Ú±’,≥‚∆Ú±’,0.0023 ,0.0031 ,0.0030 ,0.0020 ,0.0026 ,0.0022 ,0.0011 ,0.0013 ,0.0012 ,0.0015 
