"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù","2023.03 ¿ù","2023.04 ¿ù","2023.05 ¿ù","2023.06 ¿ù","2023.07 ¿ù","2023.08 ¿ù","2023.09 ¿ù","2023.10 ¿ù","2023.11 ¿ù","2023.12 ¿ù",
"°úÃµ","¿ùÆò±Õ","",".038",".038",".032",".035",".026",".024",".021",".025",".03",".035",".041",".034",".038",".033",".037",".032",".031",".027",".02",".022",".029",".036",".033",".04",".033",".031",".036",".035",".029",".026",".02",".024",".029",".029",".034",".036",".035",".033",".037",".029",".026",".024",".019",".018",".026",".026",".031",".03",".032",".032",".03",".029",".025",".025",".018",".017",".019",".028",".039",".035",".039",".036",".033",".028",".027",".021",".017",".018",".021",".024",".033",".034",".035",".03",".025",".019",".02",".019",".016",".013",".018",".027",".029",".032",".03",".028",".032",".022",".019",".018",".015",".014",".014",".02",".029",".029",".033",".025","0.024**","0.018*",".015",".013",".013",".012",".015",".021",".028",".028",".0277",".0298",".0255",".0165",".0165",".0141",".0115",".0115",".0134",".0205",".0197",".0258",
"±¸¸®","¿ùÆò±Õ","",".035",".033",".034",".032",".024",".021",".019",".019",".021",".024",".03",".03",".031",".032",".037",".03",".027",".021",".016",".016",".022","0.034*",".026",".038",".037",".032",".035",".031",".026",".023",".02",".019",".022",".023",".03",".03",".032",".03",".035",".028",".026",".021",".02",".017",".023",".023",".032",".034",".035",".033",".034",".029",".023",".022",".016",".013",".015",".022",".032",".03",".036",".029",".028",".024",".025","0.018*",".016",".015",".016",".02",".028",".029",".028",".026",".021",".019",".016",".014",".012",".012",".012",".018",".023",".024",".022",".021",".022",".016",".014",".013",".011",".01",".009",".015",".021",".021",".022",".017",".018",".015",".012",".01",".009",".01",".011",".015",".023",".024",".0251",".0253",".0238",".0166",".0139",".0114",".0106",".0108",".0105",".0161",".0181",".0222",
"ÀÇ¿Õ","¿ùÆò±Õ","",".047",".043",".038",".04",".033",".028",".023",".024",".032",".037",".043",".04",".043",".039",".043",".035",".034",".031",".023",".028",".031",".042","0.035**",".044",".042",".038",".043",".038",".034",".031",".024",".027",".029",".033",".04",".04",".037",".038",".045",".036",".033",".028",".022",".02",".032",".031",".038",".04",".043",".042",".03",".03",".024",".024",".017",".016",".02",".03",".043",".038",".042",".039",".034",".029",".028",".021",".016",".017",".021",".026",".035",".037",".038",".033",".029",".018",".019",".019",".013",".011",".018",".029",".032",".033",".032",".03",".032","0.019**",".017",".018",".014",".014",".014",".022",".03",".033",".037",".03",".027",".021",".015",".013",".012",".011",".018",".024",".033",".032",".0313",".0336",".0283",".0167",".0193",".015",".0105",".012",".0156",".0241",".0239",".0299",
"°í¾ç","¿ùÆò±Õ","",".032",".025",".032",".032",".023",".017",".017",".015",".019",".027",".03",".026",".027",".026",".031",".025",".022",".02",".016",".016",".018",".022",".022",".029",".025",".026",".031",".027",".02",".017",".014",".013",".015",".018",".024",".026",".026",".025",".028",".028",".022",".018",".018",".015",".019",".019",".027",".029",".027",".026",".027",".022",".018",".015",".012",".011",".014",".022",".031",".028",".032",".027",".025",".02",".018",".013",".011",".012",".015",".018",".025",".025",".024",".022",".019",".016",".014",".013",".012",".012",".014",".02",".024",".027",".026",".025",".025",".019",".016",".016",".014",".012","0.012*",".019",".027",".027",".027",".022",".021",".018",".014",".011",".01",".011",".012",".017",".024",".024",".026",".0245",".0237",".0172",".0131",".0105",".0098",".0063",".0077",".0136",".0158",".0212",
"±¤ÁÖ","¿ùÆò±Õ","",".044",".036",".033",".035",".031",".026",".012",".022",".028",".032",".039",".038",".039",".04",".041",".034",".037",".031",".026",".028",".028",".038",".033",".038",".041",".037",".038",".032",".031",".028",".022",".022",".025",".028",".043",".038",".041",".039",".042",".033",".031",".028",".023","0.023**",".025",".026",".038",".04",".041",".04",".03",".027",".023",".024",".018",".015",".016",".026",".037",".037",".042",".038",".035",".027",".028",".021",".017",".016",".016",".02",".032",".036",".033",".029",".026",".019",".016",".016",".012",".011",".012",".022",".03",".027",".023",".022",".024",".017",".013",".012",".011",".01",".01",".016",".025",".026",".032",".024",".023",".018",".014",".011",".011",".01",".011",".017",".025",".028",".0281",".0283",".0244",".0145",".0134",".0118",".0096",".0091",".01",".0162",".0199",".0234",
"±ºÆ÷","¿ùÆò±Õ","",".041",".042",".035",".036",".028",".024",".023",".024",".03",".036",".04",".036",".038",".032",".037",".032",".032",".026",".022",".024",".033",".038",".035",".044",".034",".032",".035",".034",".029",".023",".02",".022",".026",".03",".037",".039",".039",".037",".039",".03",".028",".021",".018",".018",".026",".025",".033",".034","0.043*",".042",".031",".029",".024",".022",".017",".017",".018",".03",".043",".038",".039",".035",".027",".024",".021",".016",".014","0.019*",".024",".026",".034",".036",".036",".032",".027",".018",".018",".018",".015",".013",".016",".026",".03",".033",".033",".029",".03",".022",".019",".018",".014",".015",".014",".023",".029",".031",".032",".025",".025",".02",".015",".012",".012",".012",".015",".02",".03",".03",".0307",".0309",".0283",".0181",".017",".0123",".0084",".0068",".0119",".0205",".0203",".0287",
"½ÃÈï","¿ùÆò±Õ","",".044",".046",".036",".042",".032",".028",".026",".028",".035",".042",".043",".036",".039",".034",".04",".036",".031",".028",".023",".025",".032",".038",".039",".044",".037",".034",".037",".038",".033",".028",".024",".025",".033",".036",".04",".041",".038",".036",".039",".033",".029",".023",".024",".025",".032",".032",".035",".035",".038",".034",".033",".031",".026",".025",".02",".019",".023",".032",".043",".036",".039",".035",".033",".03",".026",".02",".016",".018",".025",".029",".036",".037",".036",".032",".028",".02",".02",".02",".018",".013",".018",".027",".031",".031","0.032*",".027",".028",".022",".018",".018",".016",".015",".014",".021",".029",".031",".032",".026",".027",".02",".015",".012",".013",".012",".018",".023",".031",".03",".029",".0307",".0268",".0196",".0192",".0134",".0106",".0131",".0176",".0219",".0211",".027",
"ºÎÃµ","¿ùÆò±Õ","",".038",".038",".034",".039",".029",".027",".024",".027",".03",".033",".036",".028",".034",".033",".035",".033",".029",".027",".023",".021",".026",".031",".031",".03",".027",".028",".032",".033",".032",".025",".023",".023",".028",".031",".032",".034",".034",".033",".036",".031",".028",".024",".022",".023",".029",".027",".028",".031",".031",".028",".029",".028","0.025*",".025",".019",".019",".022",".029",".037",".031",".034",".031",".029",".027",".027",".024",".019",".019",".025",".03",".037",".036",".034",".032",".029",".022",".022",".021",".019",".014",".02",".03",".033",".032",".031",".028",".032",".023",".02",".02",".019",".016",".017",".026",".033",".035",".032",".027",".028",".02",".015",".014",".015",".014",".019",".023",".032",".028",".0325",".03",".0278",".0194",".0181",".014",".0124",".0118",".0137",".0215",".0215",".029",
"³²¾çÁÖ","¿ùÆò±Õ","",".035",".024",".03",".03",".024",".018",".018",".014",".016",".021",".028",".027",".029",".027",".033",".025",".028",".02",".014",".014",".015",".023",".02",".03",".029",".026",".031",".027",".022",".022",".015",".013",".016",".018",".026",".027",".029",".029",".03",".023",".022",".018",".016",".011",".017",".017",".026",".029",".029",".026",".025",".021",".018",".018",".013",".013",".012","0.018*",".028",".027",".033",".029",".029",".023",".023",".017",".014",".013",".013",".017",".026",".028",".028",".027",".022",".018",".016",".016",".011",".01",".012",".02",".026",".028",".023",".024",".023",".015",".013",".012",".009",".009",".008",".015",".024",".024",".027",".022",".021",".017",".014",".011",".009",".01",".01",".014",".021",".024",".0253",".0245",".0226",".0147",".0117",".0102",".009",".0081",".0083",".0139",".0167",".0199",
"¿ëÀÎ","¿ùÆò±Õ","",".042",".039",".032",".037",".028",".025",".022",".022",".028",".034",".041",".036",".041",".037",".043",".033",".032",".026",".02",".024",".027",".038",".033",".043",".039",".034",".037",".03",".026",".025",".021",".023",".025",".027",".032",".036",".036",".035",".037",".03",".027",".024",".02",".02",".027",".027",".034",".036",".039",".038",".031",".028",".024",".024",".019",".018",".021",".03",".042",".039",".044",".043",".036",".029",".022",".017",".013",".014",".017",".02",".03",".032",".031",".027",".023",".017",".014",".014",".012",".01",".013",".022",".027",".03",".028",".025",".026",".018",".015",".014",".011",".011",".011",".018",".026",".026",".03",".024",".023",".017",".013",".01",".01",".009",".012",".017",".025",".027",".0261",".027",".023",".0134",".0124",".0101",".0084",".0084",".0101",".0156",".0177",".0212",
"±èÆ÷","¿ùÆò±Õ","",".033",".026",".026",".024",".021",".015",".016",".016",".022",".028",".031",".029",".028",".028",".028",".024",".018",".017",".015",".015",".019",".025",".025",".03",".026",".024",".025",".023",".019",".016",".015",".013",".021",".022",".027",".028",".027",".025",".024",".02",".017",".013",".015",".014",".019",".018",".025",".027",".025",".025",".024",".021",".016",".014",".011",".011",".014",".019",".025",".024",".025",".02",".018",".015",".014",".009",".009",".01",".012",".016",".022",".024",".019",".017",".014",".012",".012",".01",".009",".01",".01",".015",".02",".022",".022",".019",".021",".013",".011",".011",".01",".01",".01","0.016*","0.023*",".022",".02",".017",".017",".013",".009",".008",".009",".009",".01",".013",".02",".021",".0205",".0175",".0166",".0129",".0106",".0085",".0085",".0065",".0069",".0137",".0145",".0195",
"¿À»ê","¿ùÆò±Õ","",".04",".038",".034",".039",".028",".021",".02",".016",".025",".031",".042",".036",".038",".034",".039",".033",".028",".024",".02",".017",".025",".034",".033",".04",".035",".031",".035",".033",".029",".023",".022",".023",".028",".031",".037",".038",".038",".035",".038",".03",".027",".021",".017",".02",".026",".028",".034",".033",".037",".035",".03",".027",".022",".02",".015",".019",".023",".031",".045",".033",".036",".034",".034",".03",".026",".019",".017",".02",".024",".028",".035",".035",".035",".03",".027",".021",".018",".018",".017",".013",".018",".029",".032",".033",".031",".03",".03",".025",".021",".02",".015",".017",".018",".025",".032",".032",".035",".028",".028",".023",".017",".013","0.014**",".014",".018",".025",".033",".031",".0299",".0328",".0299",".021",".0192",".014",".0134",".0131",".0158",".0244",".0232",".0265",
