"시군구별","적용인구별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"구로구","가입자수","시군구별 적용인구 현황","명","122973","122326","122228","122783","130983","127721","122932","125720",
"구로구","세대수","시군구별 적용인구 현황","세대","66568","67029","68166","70589","82394","81656","80021","83193",
"금천구","건강보험적용인구","시군구별 적용인구 현황","명","236612","237810","239417","240030","244860","242194","241594","241019",
"금천구","사업장수","시군구별 적용인구 현황","개","17312","18260","19014","20021","20864","21878","23090","23999",
"금천구","총가입자수","시군구별 적용인구 현황","명","158560","160476","161435","161108","161963","161208","162963","161335",
"금천구","가입자수","시군구별 적용인구 현황","명","77400","80251","82881","85782","89547","92461","97029","100308",
"금천구","피부양자수","시군구별 적용인구 현황","명","81160","80225","78554","75326","72416","68747","65934","61027",
"금천구","가입자수","시군구별 적용인구 현황","명","78052","77334","77982","78922","82897","80986","78631","79684",
"금천구","세대수","시군구별 적용인구 현황","세대","44024","44178","45138","46951","53770","53764","53359","54797",
"영등포구","건강보험적용인구","시군구별 적용인구 현황","명","390444","385897","385543","387807","396805","404249","401630","401014",
"영등포구","사업장수","시군구별 적용인구 현황","개","24359","25547","26181","26915","27381","28155","29180","29946",
"영등포구","총가입자수","시군구별 적용인구 현황","명","274491","273333","274073","274958","277208","287445","289145","287181",
"영등포구","가입자수","시군구별 적용인구 현황","명","137103","140092","144237","150874","156773","167414","173005","177865",
"영등포구","피부양자수","시군구별 적용인구 현황","명","137388","133241","129836","124084","120435","120031","116140","109316",
"영등포구","가입자수","시군구별 적용인구 현황","명","115953","112564","111470","112849","119597","116804","112485","113833",
"영등포구","세대수","시군구별 적용인구 현황","세대","65507","63924","64576","67296","78674","78249","76689","78403",
"동작구","건강보험적용인구","시군구별 적용인구 현황","명","395933","396634","392843","392451","394600","389203","386898","384500",
"동작구","사업장수","시군구별 적용인구 현황","개","7003","7482","7842","8217","8440","8576","8767","8899",
"동작구","총가입자수","시군구별 적용인구 현황","명","289499","292098","290002","288815","290329","285506","282811","277450",
"동작구","가입자수","시군구별 적용인구 현황","명","136139","140648","142725","147684","152841","154481","157471","160350",
"동작구","피부양자수","시군구별 적용인구 현황","명","153360","151450","147277","141131","137488","131025","125340","117100",
"동작구","가입자수","시군구별 적용인구 현황","명","106434","104536","102841","103636","104271","103697","104087","107050",
"동작구","세대수","시군구별 적용인구 현황","세대","58758","58662","58707","61322","64347","65494","67879","71107",
"관악구","건강보험적용인구","시군구별 적용인구 현황","명","501170","499277","497033","495816","497731","490935","484647","487591",
"관악구","사업장수","시군구별 적용인구 현황","개","9058","9550","9809","10291","10409","10594","10837","10987",
"관악구","총가입자수","시군구별 적용인구 현황","명","346223","347372","347329","346402","346304","339276","335714","333636",
"관악구","가입자수","시군구별 적용인구 현황","명","172323","177024","181434","189430","195365","196525","200810","207819",
"관악구","피부양자수","시군구별 적용인구 현황","명","173900","170348","165895","156972","150939","142751","134904","125817",
"관악구","가입자수","시군구별 적용인구 현황","명","154947","151905","149704","149414","151427","151659","148933","153955",
"관악구","세대수","시군구별 적용인구 현황","세대","91307","90978","91551","94583","100606","103541","104584","110013",
"서초구","건강보험적용인구","시군구별 적용인구 현황","명","453837","453624","447994","440520","438840","432667","421277","416282",
"서초구","사업장수","시군구별 적용인구 현황","개","35801","37402","38448","39631","40579","41827","42914","43434",
"서초구","총가입자수","시군구별 적용인구 현황","명","351883","353227","348679","341572","339863","333210","324479","316888",
"서초구","가입자수","시군구별 적용인구 현황","명","169717","174683","176176","178804","182383","183527","183896","185474",
"서초구","피부양자수","시군구별 적용인구 현황","명","182166","178544","172503","162768","157480","149683","140583","131414",
"서초구","가입자수","시군구별 적용인구 현황","명","101954","100397","99315","98948","98977","99457","96798","99394",
"서초구","세대수","시군구별 적용인구 현황","세대","56342","56088","56509","58046","59314","60817","60176","62278",
"강남구","건강보험적용인구","시군구별 적용인구 현황","명","583900","575744","566636","554210","559934","552471","549216","549005",
"강남구","사업장수","시군구별 적용인구 현황","개","57110","59522","61416","63800","65375","66843","69376","71063",
"강남구","총가입자수","시군구별 적용인구 현황","명","443144","438801","432421","422023","426382","418200","415486","411995",
"강남구","가입자수","시군구별 적용인구 현황","명","218985","222138","223122","225315","234246","236421","241277","246641",
"강남구","피부양자수","시군구별 적용인구 현황","명","224159","216663","209299","196708","192136","181779","174209","165354",
"강남구","가입자수","시군구별 적용인구 현황","명","140756","136943","134215","132187","133552","134271","133730","137010",
"강남구","세대수","시군구별 적용인구 현황","세대","82386","80971","80287","81515","83819","86442","87352","89756",
"송파구","건강보험적용인구","시군구별 적용인구 현황","명","654652","647493","647859","662644","674157","666470","658889","662297",
"송파구","사업장수","시군구별 적용인구 현황","개","24901","27240","30008","32525","34280","35416","36842","37661",
"송파구","총가입자수","시군구별 적용인구 현황","명","494772","493425","494495","506309","515491","506345","499619","497729",
"송파구","가입자수","시군구별 적용인구 현황","명","234833","240839","248048","263028","275788","278401","283041","291667",
"송파구","피부양자수","시군구별 적용인구 현황","명","259939","252586","246447","243281","239703","227944","216578","206062",
"송파구","가입자수","시군구별 적용인구 현황","명","159880","154068","153364","156335","158666","160125","159270","164568",
"송파구","세대수","시군구별 적용인구 현황","세대","86272","84848","86343","90900","94862","97785","99086","103613",
"강동구","건강보험적용인구","시군구별 적용인구 현황","명","449179","434589","427698","418746","428185","451761","457120","455953",
"강동구","사업장수","시군구별 적용인구 현황","개","10207","10968","11326","11705","12150","12663","13230","13221",
"강동구","총가입자수","시군구별 적용인구 현황","명","324162","316642","312797","305900","314924","335465","340661","334909",
"강동구","가입자수","시군구별 적용인구 현황","명","149222","149379","151360","153176","162682","176270","184097","187835",
"강동구","피부양자수","시군구별 적용인구 현황","명","174940","167263","161437","152724","152242","159195","156564","147074",
"강동구","가입자수","시군구별 적용인구 현황","명","125017","117947","114901","112846","113261","116296","116459","121044",
"강동구","세대수","시군구별 적용인구 현황","세대","66768","64227","64001","65047","66886","70311","71970","75668",
"부산광역시","건강보험적용인구","시군구별 적용인구 현황","명","3349359","3364369","3341801","3313495","3290600","3264999","3246098","3222601",
"부산광역시","사업장수","시군구별 적용인구 현황","개","97227","104361","108462","112852","116924","119788","125161","126812",
"부산광역시","총가입자수","시군구별 적용인구 현황","명","2380701","2406382","2392475","2365317","2356138","2332282","2320121","2274007",
"부산광역시","가입자수","시군구별 적용인구 현황","명","1028172","1060201","1072698","1091449","1117191","1130224","1153513","1175858",
"부산광역시","피부양자수","시군구별 적용인구 현황","명","1352529","1346181","1319777","1273868","1238947","1202058","1166608","1098149",
"부산광역시","가입자수","시군구별 적용인구 현황","명","968658","957987","949326","948178","934462","932717","925977","948594",
"부산광역시","세대수","시군구별 적용인구 현황","세대","517346","519129","523700","540187","544492","556212","567487","592731",
"중구","건강보험적용인구","시군구별 적용인구 현황","명","45335","42440","41502","40050","39587","38824","38730","37976",
"중구","사업장수","시군구별 적용인구 현황","개","4643","4808","4831","4866","4893","4806","4768","4761",
"중구","총가입자수","시군구별 적용인구 현황","명","27023","25093","24415","23510","23361","23144","22965","22436",
"중구","가입자수","시군구별 적용인구 현황","명","12578","12007","11942","11805","12205","12439","12927","13155",
"중구","피부양자수","시군구별 적용인구 현황","명","14445","13086","12473","11705","11156","10705","10038","9281",
"중구","가입자수","시군구별 적용인구 현황","명","18312","17347","17087","16540","16226","15680","15765","15540",
"중구","세대수","시군구별 적용인구 현황","세대","11276","10528","10520","10457","10611","10466","10843","10837",
"서구","건강보험적용인구","시군구별 적용인구 현황","명","108051","105148","102469","103271","101137","100955","99582","100153",
"서구","사업장수","시군구별 적용인구 현황","개","2809","2955","2995","3133","3219","3247","3337","3379",
"서구","총가입자수","시군구별 적용인구 현황","명","71186","69776","68015","69174","67673","67988","67098","66980",
"서구","가입자수","시군구별 적용인구 현황","명","30468","30438","30292","31935","32015","32955","33200","34526",
"서구","피부양자수","시군구별 적용인구 현황","명","40718","39338","37723","37239","35658","35033","33898","32454",
"서구","가입자수","시군구별 적용인구 현황","명","36865","35372","34454","34097","33464","32967","32484","33173",
"서구","세대수","시군구별 적용인구 현황","세대","20719","20209","19905","20363","20370","20520","20633","21419",
"동구","건강보험적용인구","시군구별 적용인구 현황","명","83176","82265","81460","79931","81266","82009","81417","80854",
"동구","사업장수","시군구별 적용인구 현황","개","3947","4049","4069","4108","4318","4515","4594","4598",
"동구","총가입자수","시군구별 적용인구 현황","명","54492","53883","53572","52224","53854","54841","54713","53673",
"동구","가입자수","시군구별 적용인구 현황","명","22917","23230","23770","24084","25957","27259","28007","28554",
"동구","피부양자수","시군구별 적용인구 현황","명","31575","30653","29802","28140","27897","27582","26706","25119",
"동구","가입자수","시군구별 적용인구 현황","명","28684","28382","27888","27707","27412","27168","26704","27181",
"동구","세대수","시군구별 적용인구 현황","세대","16076","16464","16408","16830","17061","17335","17461","18034",
"영도구","건강보험적용인구","시군구별 적용인구 현황","명","119228","116544","113905","110412","107227","104135","102790","100873",
"영도구","사업장수","시군구별 적용인구 현황","개","2708","2878","2955","2995","3069","3190","3295","3340",
"영도구","총가입자수","시군구별 적용인구 현황","명","81246","79437","77244","74517","72420","69722","68659","66361",
"영도구","가입자수","시군구별 적용인구 현황","명","33939","33860","33488","33159","33172","32686","33008","33125",
"영도구","피부양자수","시군구별 적용인구 현황","명","47307","45577","43756","41358","39248","37036","35651","33236",
"영도구","가입자수","시군구별 적용인구 현황","명","37982","37107","36661","35895","34807","34413","34131","34512",
"영도구","세대수","시군구별 적용인구 현황","세대","20794","20610","20655","20875","20633","20790","21085","21715",
"부산진구","건강보험적용인구","시군구별 적용인구 현황","명","366512","360231","356091","347239","343162","344598","340830","344044",
"부산진구","사업장수","시군구별 적용인구 현황","개","10362","10995","11104","11574","11807","11926","12270","12441",
"부산진구","총가입자수","시군구별 적용인구 현황","명","255666","251344","248701","241573","239639","240602","238879","238527",
"부산진구","가입자수","시군구별 적용인구 현황","명","110836","111542","112516","112736","115058","119228","121317","126537",
"부산진구","피부양자수","시군구별 적용인구 현황","명","144830","139802","136185","128837","124581","121374","117562","111990",
"부산진구","가입자수","시군구별 적용인구 현황","명","110846","108887","107390","105666","103523","103996","101951","105517",
"부산진구","세대수","시군구별 적용인구 현황","세대","61301","61180","61234","62212","62060","64022","64158","67606",
"동래구","건강보험적용인구","시군구별 적용인구 현황","명","266563","265115","263695","259611","264400","263862","261023","268121",
"동래구","사업장수","시군구별 적용인구 현황","개","6385","6922","7179","7439","7564","7667","8023","8081",
"동래구","총가입자수","시군구별 적용인구 현황","명","193057","193149","192450","189187","194032","193952","192683","196106",
"동래구","가입자수","시군구별 적용인구 현황","명","81287","83145","84091","85014","89534","91146","93013","98305",
"동래구","피부양자수","시군구별 적용인구 현황","명","111770","110004","108359","104173","104498","102806","99670","97801",
"동래구","가입자수","시군구별 적용인구 현황","명","73506","71966","71245","70424","70368","69910","68340","72015",
"동래구","세대수","시군구별 적용인구 현황","세대","38717","38476","38536","39388","40121","40841","40927","43774",
"남구","건강보험적용인구","시군구별 적용인구 현황","명","276642","270414","266035","272155","267384","260500","258565","253805",
"남구","사업장수","시군구별 적용인구 현황","개","5292","5799","5867","6272","6653","6794","7075","7150",
"남구","총가입자수","시군구별 적용인구 현황","명","197880","193738","190529","195369","193470","187460","184753","178276",
"남구","가입자수","시군구별 적용인구 현황","명","81774","81501","81370","86492","87921","86734","87673","87685",
"남구","피부양자수","시군구별 적용인구 현황","명","116106","112237","109159","108877","105549","100726","97080","90591",
"남구","가입자수","시군구별 적용인구 현황","명","78762","76676","75506","76786","73914","73040","73812","75529",
"남구","세대수","시군구별 적용인구 현황","세대","41300","40909","40999","42963","42434","42992","45226","47374",
"북구","건강보험적용인구","시군구별 적용인구 현황","명","297653","294538","287646","281967","276826","269219","269265","265440",
"북구","사업장수","시군구별 적용인구 현황","개","4027","4458","4787","4994","5271","5444","5721","5341",
"북구","총가입자수","시군구별 적용인구 현황","명","221804","219383","214021","208747","205115","198496","199127","193267",
"북구","가입자수","시군구별 적용인구 현황","명","97942","98056","97119","97539","98395","96761","99676","100643",
"북구","피부양자수","시군구별 적용인구 현황","명","123862","121327","116902","111208","106720","101735","99451","92624",
"북구","가입자수","시군구별 적용인구 현황","명","75849","75155","73625","73220","71711","70723","70138","72173",
"북구","세대수","시군구별 적용인구 현황","세대","39046","39154","39171","40381","40586","40933","41729","43668",
"해운대구","건강보험적용인구","시군구별 적용인구 현황","명","412658","406977","400243","397552","394810","390765","387131","378666",
"해운대구","사업장수","시군구별 적용인구 현황","개","9268","10286","10897","11843","12453","12903","13837","14077",
"해운대구","총가입자수","시군구별 적용인구 현황","명","301731","296966","292495","288939","287269","283655","281492","271633",
"해운대구","가입자수","시군구별 적용인구 현황","명","127161","128402","128911","131075","134401","136127","139179","139769",
"해운대구","피부양자수","시군구별 적용인구 현황","명","174570","168564","163584","157864","152868","147528","142313","131864",
"해운대구","가입자수","시군구별 적용인구 현황","명","110927","110011","107748","108613","107541","107110","105639","107033",
"해운대구","세대수","시군구별 적용인구 현황","세대","57814","58259","58280","60728","61479","62624","63391","65648",
"사하구","건강보험적용인구","시군구별 적용인구 현황","명","325483","321746","320502","314747","308103","298021","293229","289550",
"사하구","사업장수","시군구별 적용인구 현황","개","7220","7355","7499","7711","7879","7874","8073","8130",
"사하구","총가입자수","시군구별 적용인구 현황","명","238973","235994","234731","229650","224457","215718","211540","206393",
"사하구","가입자수","시군구별 적용인구 현황","명","106965","107368","108624","108991","109015","106722","106495","108089",
"사하구","피부양자수","시군구별 적용인구 현황","명","132008","128626","126107","120659","115442","108996","105045","98304",
"사하구","가입자수","시군구별 적용인구 현황","명","86510","85752","85771","85097","83646","82303","81689","83157",
"사하구","세대수","시군구별 적용인구 현황","세대","45597","45888","46714","48007","48307","48566","49302","51432",
"금정구","건강보험적용인구","시군구별 적용인구 현황","명","239585","235781","235918","234335","230665","224265","222742","216718",
"금정구","사업장수","시군구별 적용인구 현황","개","6388","6939","7448","7635","7841","8032","8534","8613",
"금정구","총가입자수","시군구별 적용인구 현황","명","173012","170286","170733","168425","165613","160111","158111","150880",
