"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","65 - 69세","사망자수[명]","명","19900","20332","19942","20397","20181","21201","23497","26315",
"계","계","65 - 69세","사망률[십만명당]","십만명당","943.4","930.2","881.6","869.5","825.8","804.4","815.3","852.3",
"계","계","70 - 74세","사망자수[명]","명","30399","28692","26828","25964","26083","26466","28106","32040",
"계","계","70 - 74세","사망률[십만명당]","십만명당","1710.4","1625.1","1519.3","1431.2","1371.2","1322.8","1354.4","1491.4",
"계","계","75 - 79세","사망자수[명]","명","42666","42367","43132","45173","42208","41835","40713","44581",
"계","계","75 - 79세","사망률[십만명당]","십만명당","3152","3008.8","2863.2","2849.4","2632.7","2610.3","2547.8","2778.9",
"계","계","80세이상","사망자수[명]","명","112638","119325","127801","138230","138602","148329","158739","200493",
"계","계","80세이상","사망률[십만명당]","십만명당","8584.7","8393.2","8342.7","8407.7","7833.7","7824.5","7847.3","9237.2",
"계","계","80 - 84세","사망자수[명]","명","45030","48227","50618","53905","53140","55154","57523","69310",
"계","계","80 - 84세","사망률[십만명당]","십만명당","5669.6","5579.3","5451.7","5447","5031.4","4964.8","4945","5554.5",
"계","계","85 - 89세","사망자수[명]","명","37792","39709","42481","46046","46366","50632","55126","69769",
"계","계","85 - 89세","사망률[십만명당]","십만명당","10351.7","10075.1","9963","9999.8","9280.3","9211.7","9137.8","10775.3",
"계","계","90세이상","사망자수[명]","명","29816","31389","34702","38279","39096","42543","46090","61414",
"계","계","90세이상","사망률[십만명당]","십만명당","19517.7","19236.5","19603.9","19733.3","18310.7","18091.9","17981.3","22315.5",
"계","계","15세 미만","사망자수[명]","명","1904","1830","1668","1549","1417","1204","1150","1195",
"계","계","15세 미만","사망률[십만명당]","십만명당","26.6","26.2","24.4","23.1","21.7","18.9","18.5","19.9",
"계","계","15 - 64세","사망자수[명]","명","68347","68239","66122","67464","66548","65886","65450","68297",
"계","계","15 - 64세","사망률[십만명당]","십만명당","183.5","182.7","177.2","181.3","179.5","178.9","179.1","188.4",
"계","계","65세 이상","사망자수[명]","명","205603","210716","217703","229764","227074","237831","251055","303429",
"계","계","65세 이상","사망률[십만명당]","십만명당","3137.8","3107.4","3080.9","3109.3","2941.9","2923.7","2926.8","3367.5",
"계","계","연령미상","사망자수[명]","명","41","42","41","43","71","27","25","18",
"계","계","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"계","남자","계","사망자수[명]","명","150449","152529","154328","161187","160322","165163","171967","196465",
"계","남자","계","사망률[십만명당]","십만명당","591","597.5","603.4","629.6","626","645","672","769.2",
"계","남자","0세","사망자수[명]","명","655","642","569","534","465","387","347","322",
"계","남자","0세","사망률[십만명당]","십만명당","302.5","306.2","299.7","313.1","295.8","269.6","261.1","252.5",
"계","남자","1 - 4세","사망자수[명]","명","168","159","139","111","122","106","93","108",
"계","남자","1 - 4세","사망률[십만명당]","십만명당","17.6","17","15.3","12.8","14.8","14","13.5","17.1",
"계","남자","5 - 9세","사망자수[명]","명","126","123","134","102","108","80","69","107",
"계","남자","5 - 9세","사망률[십만명당]","십만명당","10.6","10.2","11.1","8.5","9.1","6.8","6","9.6",
"계","남자","10 - 14세","사망자수[명]","명","139","116","115","118","108","121","137","146",
"계","남자","10 - 14세","사망률[십만명당]","십만명당","10.4","9.3","9.5","9.8","9.1","10.1","11.3","12",
"계","남자","15 - 19세","사망자수[명]","명","448","485","424","386","374","365","338","333",
"계","남자","15 - 19세","사망률[십만명당]","십만명당","26.1","29.2","26.8","25.8","26.4","27.5","27.2","27.5",
"계","남자","20 - 24세","사망자수[명]","명","788","752","750","728","682","650","689","618",
"계","남자","20 - 24세","사망률[십만명당]","십만명당","42.3","40.1","40.5","40.2","38.8","38","41.6","39.3",
"계","남자","25 - 29세","사망자수[명]","명","986","924","953","926","938","1010","1094","1099",
"계","남자","25 - 29세","사망률[십만명당]","십만명당","60.5","55.9","55.9","52.6","51.8","54.5","58.7","59.7",
"계","남자","30 - 34세","사망자수[명]","명","1412","1331","1153","1175","1132","1108","1112","1219",
"계","남자","30 - 34세","사망률[십만명당]","십만명당","72.7","72.2","66.2","70.7","69.6","68.2","67.5","71.8",
"계","남자","35 - 39세","사망자수[명]","명","1982","1944","1983","2057","1990","1860","1736","1656",
"계","남자","35 - 39세","사망률[십만명당]","십만명당","100.4","96.9","97.3","100.1","98.6","96.2","94.5","95.5",
"계","남자","40 - 44세","사망자수[명]","명","3731","3515","3089","3006","2755","2702","2746","2961",
"계","남자","40 - 44세","사망률[십만명당]","십만명당","166.2","162.5","148.4","149.6","140.6","137.7","137.6","146.1",
"계","남자","45 - 49세","사망자수[명]","명","6141","5787","5647","5653","5328","5035","4775","4590",
"계","남자","45 - 49세","사망률[십만명당]","십만명당","277.3","256.5","246.1","245.9","234.3","226.3","222.6","222.3",
"계","남자","50 - 54세","사망자수[명]","명","9381","8728","8296","8127","8096","7728","7455","7891",
"계","남자","50 - 54세","사망률[십만명당]","십만명당","434.3","411.4","397.3","386.8","377.1","353.8","334.6","348.2",
"계","남자","55 - 59세","사망자수[명]","명","12010","12252","12359","12347","11942","11443","10794","11086",
"계","남자","55 - 59세","사망률[십만명당]","십만명당","619.9","602.3","585.7","577.3","558.8","540.9","518.6","540.9",
"계","남자","60 - 64세","사망자수[명]","명","12239","12992","13059","13872","14219","14534","15428","16617",
"계","남자","60 - 64세","사망률[십만명당]","십만명당","919.1","893.6","836.5","833","799.7","773.5","780.7","810.5",
"계","남자","65 - 69세","사망자수[명]","명","14103","14345","14172","14568","14417","15240","16916","18722",
"계","남자","65 - 69세","사망률[십만명당]","십만명당","1395.1","1367.7","1303.4","1290.6","1223.9","1198.3","1216.1","1252.8",
"계","남자","70 - 74세","사망자수[명]","명","19661","18776","17571","17340","17633","18128","19110","21785",
"계","남자","70 - 74세","사망률[십만명당]","십만명당","2482.5","2362.7","2186.5","2077","1995.2","1940.3","1969.2","2164.7",
"계","남자","75 - 79세","사망자수[명]","명","24656","24729","25446","26917","25443","25521","24848","27195",
"계","남자","75 - 79세","사망률[십만명당]","십만명당","4517.1","4301.7","4082.3","4060.4","3764.6","3741.5","3609.3","3883.5",
"계","남자","80세이상","사망자수[명]","명","41802","44920","48453","53195","54524","59136","64277","80008",
"계","남자","80세이상","사망률[십만명당]","십만명당","10491.2","10213.2","10038.4","10089.4","9445.9","9419.9","9462.5","10793.8",
"계","남자","80 - 84세","사망자수[명]","명","20913","23044","24679","26823","27070","28418","30277","36239",
"계","남자","80 - 84세","사망률[십만명당]","십만명당","7809","7705.7","7521.6","7529.7","6999","6874.6","6891","7572.5",
"계","남자","85 - 89세","사망자수[명]","명","13200","13763","15111","16805","17440","19795","22077","28083",
"계","남자","85 - 89세","사망률[십만명당]","십만명당","13605.3","13053.7","12960.1","12975.7","12076.9","12110.4","11982.4","13901.3",
"계","남자","90세이상","사망자수[명]","명","7689","8113","8663","9567","10014","10923","11923","15686",
"계","남자","90세이상","사망률[십만명당]","십만명당","22869","22958.9","22815.7","23052.7","21749","21439.9","21418.6","25860.2",
"계","남자","15세 미만","사망자수[명]","명","1088","1040","957","865","803","694","646","683",
"계","남자","15세 미만","사망률[십만명당]","십만명당","29.5","28.9","27.1","25.1","23.9","21.2","20.3","22.2",
"계","남자","15 - 64세","사망자수[명]","명","49118","48710","47713","48277","47456","46435","46167","48070",
"계","남자","15 - 64세","사망률[십만명당]","십만명당","258.3","255.5","250.4","254.1","250.7","246.8","247.3","259.6",
"계","남자","65세 이상","사망자수[명]","명","100222","102770","105642","112020","112017","118025","125151","147710",
"계","남자","65세 이상","사망률[십만명당]","십만명당","3648.2","3595.5","3525.1","3551.9","3379.3","3356.8","3356","3746.8",
"계","남자","연령미상","사망자수[명]","명","21","9","16","25","46","9","3","2",
"계","남자","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"계","여자","계","사망자수[명]","명","125446","128298","131206","137633","134788","139785","145713","176474",
"계","여자","계","사망률[십만명당]","십만명당","492.1","501.5","511.4","535.6","523.9","543","566","686.2",
"계","여자","0세","사망자수[명]","명","535","512","431","397","357","287","279","243",
"계","여자","0세","사망률[십만명당]","십만명당","260.1","256.7","239.6","246.3","239.3","210.2","220.4","199.9",
"계","여자","1 - 4세","사망자수[명]","명","119","119","122","109","111","79","58","93",
"계","여자","1 - 4세","사망률[십만명당]","십만명당","13.2","13.4","14.1","13.2","14.2","11","8.9","15.5",
"계","여자","5 - 9세","사망자수[명]","명","81","82","76","75","70","62","67","76",
"계","여자","5 - 9세","사망률[십만명당]","십만명당","7.2","7.2","6.6","6.6","6.2","5.5","6.1","7.2",
"계","여자","10 - 14세","사망자수[명]","명","81","77","82","103","76","82","100","100",
"계","여자","10 - 14세","사망률[십만명당]","십만명당","6.6","6.7","7.3","9.1","6.8","7.3","8.8","8.7",
"계","여자","15 - 19세","사망자수[명]","명","237","233","202","234","236","198","198","217",
"계","여자","15 - 19세","사망률[십만명당]","십만명당","15.1","15.3","13.9","17","18.1","16.2","17.2","19.2",
"계","여자","20 - 24세","사망자수[명]","명","367","379","337","416","444","468","449","455",
"계","여자","20 - 24세","사망률[십만명당]","십만명당","22.3","22.8","20.5","25.6","27.8","30","29.5","31.4",
"계","여자","25 - 29세","사망자수[명]","명","493","450","431","458","497","578","546","585",
"계","여자","25 - 29세","사망률[십만명당]","십만명당","32.9","29.8","27.9","28.9","30.7","35","32.8","35.4",
"계","여자","30 - 34세","사망자수[명]","명","903","791","696","686","656","644","658","618",
"계","여자","30 - 34세","사망률[십만명당]","십만명당","48.7","45.1","42.2","43.8","43.1","42.7","43.4","39.8",
"계","여자","35 - 39세","사망자수[명]","명","1121","1120","1079","1147","1127","1147","1035","934",
"계","여자","35 - 39세","사망률[십만명당]","십만명당","58.8","57.9","55","58","58","61.9","59","56.6",
"계","여자","40 - 44세","사망자수[명]","명","1806","1677","1591","1507","1464","1453","1471","1607",
"계","여자","40 - 44세","사망률[십만명당]","십만명당","83.4","80.2","78.7","77.3","77.2","76.4","76.2","82.2",
"계","여자","45 - 49세","사망자수[명]","명","2483","2405","2375","2418","2373","2384","2230","2381",
"계","여자","45 - 49세","사망률[십만명당]","십만명당","115","109","106","108.3","107.6","110.6","107.1","118.3",
"계","여자","50 - 54세","사망자수[명]","명","3228","3199","2964","3080","3000","3074","3205","3285",
"계","여자","50 - 54세","사망률[십만명당]","십만명당","153.3","156","146.9","149.9","142.1","143.2","146","147.4",
"계","여자","55 - 59세","사망자수[명]","명","4134","4436","4072","4320","4253","4145","3959","4079",
"계","여자","55 - 59세","사망률[십만명당]","십만명당","212.5","217.3","192.6","202.4","200.3","198.1","194.3","203.5",
"계","여자","60 - 64세","사망자수[명]","명","4457","4839","4662","4921","5042","5360","5532","6066",
"계","여자","60 - 64세","사망률[십만명당]","십만명당","322.2","320.1","288.7","287.7","276.5","278.3","273.6","289.8",
"계","여자","65 - 69세","사망자수[명]","명","5797","5987","5770","5829","5764","5961","6581","7593",
"계","여자","65 - 69세","사망률[십만명당]","십만명당","527.7","526.6","491.1","478.9","455.3","437.1","441.4","476.6",
"계","여자","70 - 74세","사망자수[명]","명","10738","9916","9257","8624","8450","8338","8996","10255",
"계","여자","70 - 74세","사망률[십만명당]","십만명당","1089.8","1021.4","962.1","880.6","829.7","781.9","814.3","898",
"계","여자","75 - 79세","사망자수[명]","명","18010","17638","17686","18256","16765","16314","15865","17386",
"계","여자","75 - 79세","사망률[십만명당]","십만명당","2229.5","2116.8","2002.7","1979.1","1807.7","1772.2","1744.3","1923.3",
"계","여자","80세이상","사망자수[명]","명","70836","74405","79348","85035","84078","89193","94462","120485",
"계","여자","80세이상","사망률[십만명당]","십만명당","7753.2","7577.9","7562.6","7613.8","7053.1","7034.5","7030.7","8429.8",
"계","여자","80 - 84세","사망자수[명]","명","24117","25183","25939","27082","26070","26736","27246","33071",
"계","여자","80 - 84세","사망률[십만명당]","십만명당","4581.2","4454.5","4320.5","4275.6","3894.6","3832.9","3763.9","4299.2",
"계","여자","85 - 89세","사망자수[명]","명","24592","25946","27370","29241","28926","30837","33049","41686",
"계","여자","85 - 89세","사망률[십만명당]","십만명당","9174.1","8987.3","8835","8835.2","8143.3","7984.8","7887","9357.7",
"계","여자","90세이상","사망자수[명]","명","22127","23276","26039","28712","29082","31620","34167","45728",
"계","여자","90세이상","사망률[십만명당]","십만명당","18572","18207.6","18726.8","18829.8","17365.4","17165.9","17027.7","21313.4",
"계","여자","15세 미만","사망자수[명]","명","816","790","711","684","614","510","504","512",
"계","여자","15세 미만","사망률[십만명당]","십만명당","23.6","23.4","21.4","21","19.3","16.4","16.7","17.5",
"계","여자","15 - 64세","사망자수[명]","명","19229","19529","18409","19187","19092","19451","19283","20227",
"계","여자","15 - 64세","사망률[십만명당]","십만명당","105.5","106.8","100.8","105.4","105.2","107.9","107.9","114.1",
"계","여자","65세 이상","사망자수[명]","명","105381","107946","112061","117744","115057","119806","125904","155719",
"계","여자","65세 이상","사망률[십만명당]","십만명당","2769.3","2751.7","2753.8","2779.8","2612.6","2593.9","2596.6","3072.4",
"계","여자","연령미상","사망자수[명]","명","20","33","25","18","25","18","22","16",
"계","여자","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","계","사망자수[명]","명","7295","7946","7986","8746","8692","10419","14978","41783",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","계","사망률[십만명당]","십만명당","14.3","15.5","15.6","17","16.9","20.3","29.2","81.5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","0세","사망자수[명]","명","7","17","13","4","9","6","10","13",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","0세","사망률[십만명당]","십만명당","1.7","4.2","3.5","1.2","2.9","2.1","3.9","5.2",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","1 - 4세","사망자수[명]","명","10","12","7","7","7","9","2","20",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","1 - 4세","사망률[십만명당]","십만명당",".5",".7",".4",".4",".4",".6",".1","1.6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","5 - 9세","사망자수[명]","명","2","3","2","3","7","1","4","17",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","5 - 9세","사망률[십만명당]","십만명당",".1",".1",".1",".1",".3","0",".2",".8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","10 - 14세","사망자수[명]","명","4","2","0","2","1","1","3","11",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","10 - 14세","사망률[십만명당]","십만명당",".2",".1","",".1","0","0",".1",".5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 19세","사망자수[명]","명","7","5","4","5","4","4","1","17",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 19세","사망률[십만명당]","십만명당",".2",".2",".1",".2",".1",".2","0",".7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","20 - 24세","사망자수[명]","명","6","14","13","9","9","10","7","30",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","20 - 24세","사망률[십만명당]","십만명당",".2",".4",".4",".3",".3",".3",".2","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","25 - 29세","사망자수[명]","명","23","10","14","16","9","16","19","49",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","25 - 29세","사망률[십만명당]","십만명당",".7",".3",".4",".5",".3",".5",".5","1.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","30 - 34세","사망자수[명]","명","45","27","17","26","14","17","18","59",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","30 - 34세","사망률[십만명당]","십만명당","1.2",".8",".5",".8",".4",".5",".6","1.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","35 - 39세","사망자수[명]","명","46","50","34","28","43","45","64","81",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","35 - 39세","사망률[십만명당]","십만명당","1.2","1.3",".9",".7","1.1","1.2","1.8","2.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","40 - 44세","사망자수[명]","명","106","85","74","78","67","82","89","170",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","40 - 44세","사망률[십만명당]","십만명당","2.4","2","1.8","2","1.7","2.1","2.3","4.3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","45 - 49세","사망자수[명]","명","194","177","163","169","154","140","179","291",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","45 - 49세","사망률[십만명당]","십만명당","4.4","4","3.6","3.7","3.4","3.2","4.2","7.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","50 - 54세","사망자수[명]","명","308","281","254","235","246","199","323","527",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","50 - 54세","사망률[십만명당]","십만명당","7.2","6.7","6.2","5.7","5.8","4.6","7.3","11.7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","55 - 59세","사망자수[명]","명","362","358","342","365","375","331","497","894",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","55 - 59세","사망률[십만명당]","십만명당","9.3","8.8","8.1","8.5","8.8","7.9","12.1","22.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","60 - 64세","사망자수[명]","명","344","379","398","377","426","485","823","1645",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","60 - 64세","사망률[십만명당]","십만명당","12.7","12.8","12.5","11.2","11.8","12.7","20.6","39.7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","65 - 69세","사망자수[명]","명","462","485","457","477","429","596","1076","2381",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","65 - 69세","사망률[십만명당]","십만명당","21.9","22.2","20.2","20.3","17.6","22.6","37.3","77.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","70 - 74세","사망자수[명]","명","746","758","730","753","670","815","1396","3454",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","70 - 74세","사망률[십만명당]","십만명당","42","42.9","41.3","41.5","35.2","40.7","67.3","160.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","75 - 79세","사망자수[명]","명","1180","1328","1306","1424","1301","1586","2031","5165",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","75 - 79세","사망률[십만명당]","십만명당","87.2","94.3","86.7","89.8","81.1","99","127.1","322",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","80세이상","사망자수[명]","명","3441","3955","4155","4767","4919","6075","8436","26954",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","80세이상","사망률[십만명당]","십만명당","262.3","278.2","271.2","289.9","278","320.5","417","1241.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","80 - 84세","사망자수[명]","명","1443","1693","1626","1850","1880","2270","2989","8696",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","80 - 84세","사망률[십만명당]","십만명당","181.7","195.9","175.1","186.9","178","204.3","257","696.9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","85 - 89세","사망자수[명]","명","1195","1374","1497","1674","1776","2146","3056","9518",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","85 - 89세","사망률[십만명당]","십만명당","327.3","348.6","351.1","363.5","355.5","390.4","506.6","1470",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","90세이상","사망자수[명]","명","803","888","1032","1243","1263","1659","2391","8740",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","90세이상","사망률[십만명당]","십만명당","525.6","544.2","583","640.8","591.5","705.5","932.8","3175.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15세 미만","사망자수[명]","명","23","34","22","16","24","17","19","61",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15세 미만","사망률[십만명당]","십만명당",".3",".5",".3",".2",".4",".3",".3","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 64세","사망자수[명]","명","1441","1386","1313","1308","1347","1329","2020","3763",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 64세","사망률[십만명당]","십만명당","3.9","3.7","3.5","3.5","3.6","3.6","5.5","10.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","65세 이상","사망자수[명]","명","5829","6526","6648","7421","7319","9072","12939","37954",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","65세 이상","사망률[십만명당]","십만명당","89","96.2","94.1","100.4","94.8","111.5","150.8","421.2",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","연령미상","사망자수[명]","명","2","0","3","1","2","1","0","5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","계","사망자수[명]","명","3754","3980","3830","4209","4103","4890","7320","19650",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","계","사망률[십만명당]","십만명당","14.7","15.6","15","16.4","16","19.1","28.6","76.9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","0세","사망자수[명]","명","5","7","10","4","6","5","6","8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","0세","사망률[십만명당]","십만명당","2.3","3.3","5.3","2.3","3.8","3.5","4.5","6.3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","1 - 4세","사망자수[명]","명","9","8","2","5","5","1","1","11",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","1 - 4세","사망률[십만명당]","십만명당",".9",".9",".2",".6",".6",".1",".1","1.7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","5 - 9세","사망자수[명]","명","2","2","2","2","3","0","3","7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","5 - 9세","사망률[십만명당]","십만명당",".2",".2",".2",".2",".3","",".3",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","사망자수[명]","명","3","0","0","1","1","1","2","5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","사망률[십만명당]","십만명당",".2","","",".1",".1",".1",".2",".4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","사망자수[명]","명","5","2","1","1","1","2","1","10",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","사망률[십만명당]","십만명당",".3",".1",".1",".1",".1",".2",".1",".8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","사망자수[명]","명","5","7","7","6","7","2","2","18",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","사망률[십만명당]","십만명당",".3",".4",".4",".3",".4",".1",".1","1.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","사망자수[명]","명","9","7","9","9","5","8","16","32",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","사망률[십만명당]","십만명당",".6",".4",".5",".5",".3",".4",".9","1.7",
