"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù","2023.03 ¿ù","2023.04 ¿ù","2023.05 ¿ù","2023.06 ¿ù","2023.07 ¿ù","2023.08 ¿ù","2023.09 ¿ù","2023.10 ¿ù","2023.11 ¿ù","2023.12 ¿ù",
"¾È¾ç","¿ùÆò±Õ","",".008",".007",".006",".005",".006",".004",".004",".004",".004",".004",".005",".006",".007",".006",".007",".005",".006",".005","0.004**",".004","0.004*","0.004*","0.004*","0.006*",".005",".005",".005",".004",".004",".004",".004",".004",".004",".003",".003",".004",".005",".005",".005",".004",".005",".004",".004",".003",".004",".004",".004",".005",".006",".006",".005",".004",".004",".004",".003",".003",".003",".003",".003",".004",".004",".004",".004",".004",".004",".003",".003",".003",".003",".003",".003",".004",".004",".003",".003",".003",".003",".003",".002",".003",".003",".003",".003",".004",".003",".003",".003",".004",".003",".003",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".003",".0022",".0026",".0027",".0023",".0025",".0025",".0025",".0025",".0024",".0025",".0027",".0029",
"¼º³²","¿ùÆò±Õ","",".007",".006",".006",".005",".006",".004",".004",".004",".004",".004",".005",".007",".007",".006",".006",".005",".005",".004",".004",".004",".004",".004",".004",".005",".005",".005",".005",".004",".004",".004",".003",".003",".004",".003",".004",".005",".005",".005",".005",".004",".004",".004",".003",".003",".004",".003",".004",".005",".005",".005",".004",".004",".003",".003",".003",".003",".003",".003",".004",".004",".005",".004",".004",".003",".004",".003",".003",".003",".002",".002",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".003",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".003",".003",".002",".002",".002",".002",".001",".002",".002",".001",".002",".002",".002",".0021",".0022",".0021",".0017",".0017",".0016",".0016",".0016",".0016",".0017",".0019",".0019",
"ÀÇÁ¤ºÎ","¿ùÆò±Õ","",".007",".006",".005",".004",".004",".003",".004",".002",".002",".003",".005",".007",".008",".006",".005",".003",".003",".003",".003",".003",".003",".003",".003",".005",".006",".005",".005",".004",".003",".003",".003",".003",".002",".003",".004",".004",".005",".005",".004",".004",".004",".003",".003",".003",".003",".003",".004",".004",".005",".005",".004",".004",".003",".003",".003",".002",".002",".002",".003",".005",".005",".005",".004",".004",".004",".003",".003",".003",".003",".003",".003",".004",".004",".004",".004",".004",".003",".004",".004",".003",".003",".004",".004",".004",".004",".005",".004",".003",".003",".004",".004",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".003",".003",".0029",".0034",".0031",".003",".0026",".0026",".0027",".0026",".0027",".0028",".0033",".0036",
"±¤¸í","¿ùÆò±Õ","",".008",".007",".006",".006",".006",".004",".004",".004",".004",".004",".006",".006",".006",".006",".006",".005",".005",".005",".004",".004",".003",".004",".004",".006",".006",".005",".005",".005",".004",".004",".004",".003",".003",".003",".004",".005",".005",".005",".005",".004",".005",".003",".003",".003",".003",".003",".004",".004",".005",".005",".004",".004",".003",".003",".003",".003",".002",".003",".004",".005",".005",".004",".004",".003",".004",".003",".003",".002",".003",".003",".004",".004",".004",".003",".003",".003",".003",".003",".002",".002",".002",".003",".003",".004",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".003",".003",".003",".002",".002",".002",".001",".001",".001",".002",".002",".002",".002",".0021",".0019",".0018","0.0014*",".0016",".0013",".0014",".0012",".0011",".0015",".0017",".0019",
"¾È»ê","¿ùÆò±Õ","",".008",".007",".007",".007",".007",".006",".006",".004",".004",".005",".006",".006",".006",".006",".007",".006",".007",".006",".004",".004",".004",".005",".004",".006",".006",".005",".006",".006",".006",".005",".005",".005",".004",".004",".004",".005",".006",".006",".007",".006",".006",".005",".004",".004",".004",".004",".005",".005",".006",".006",".006",".006",".005",".006",".005",".004",".003",".004",".005",".005",".005",".005",".005",".005",".006",".005",".003",".004",".003",".004",".004",".004",".004",".004",".004",".003",".003",".003",".003","0.003*","0.003*","0.003*",".004",".004",".004",".004",".004",".003",".003",".003",".003",".003",".002",".003",".003",".003",".004",".003",".003",".003",".003",".003",".003",".002",".003",".003",".003",".003",".0031",".0032",".0033",".0027",".0028",".0027",".0027",".0025",".0025",".0027",".0027",".0027",
"ÆòÅÃ","¿ùÆò±Õ","",".008",".008",".008",".008",".008",".007",".006",".004",".005",".004",".005",".006",".007",".008",".007",".006",".007",".005",".005",".005",".004",".005",".004",".005",".006",".006",".007",".007",".007",".007",".005",".007",".005",".004",".006",".006",".007",".008",".008",".006",".007",".008",".006",".006",".006",".005",".005",".005",".007",".007",".006","0.005*","0.005*",".006",".006",".005",".004",".004",".004",".004",".006",".006",".005",".004",".006",".005",".004",".004",".003",".004",".004",".004",".004",".004",".004",".004",".005",".004",".004",".004",".004",".004",".004",".005",".004",".004",".004",".004",".004",".004",".004",".005",".005",".005",".003",".003",".004",".004",".003",".003",".003",".003",".002",".002",".003",".003",".003",".003",".0027",".0028",".0031",".0028",".0032",".0029",".0029",".0032",".0033",".0035",".0038",".004",
"°úÃµ","¿ùÆò±Õ","",".007",".005",".005",".004",".005",".003",".003",".003",".003",".003",".004",".006",".006",".006",".005",".004",".004",".003",".003",".003",".003",".003",".003",".005",".005",".005",".004",".003",".003",".003",".003",".002",".003",".003",".004",".005",".005",".005",".005",".004",".004",".003",".002",".002",".003",".003",".004",".005",".005",".005",".003",".003",".003",".003",".003",".002",".002",".003",".003",".004",".005",".004",".004",".003",".004",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".003",".004",".004",".003",".002",".002",".002",".002",".002",".002",".002",".002",".003",".003",".003",".003","0.002**","0.002*",".002",".001",".001",".001",".001",".001",".002",".002",".0025",".002",".0018",".0013",".0013",".0009",".0011",".0011",".001",".0016",".0017",".0019",
"±¸¸®","¿ùÆò±Õ","",".007",".006",".006",".005",".005",".004",".004",".003",".003",".003",".005",".006",".006",".006",".005",".005",".005",".004",".004",".004",".004","0.004*",".003",".004",".005",".005",".005",".005",".004",".003",".003",".003",".003",".003",".004",".004",".005",".005",".006",".005",".005",".003",".004",".003",".003",".004",".004",".005",".006",".005",".004",".003",".003",".002",".002",".002",".002",".002",".003",".003",".004",".004",".004",".003",".004","0.003*",".002",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".004",".003",".004",".003",".003",".003",".002",".002",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".0025",".0025",".0027",".0027",".0025",".0021",".0024",".0027",".0028",".0033",".003",".0035",
"ÀÇ¿Õ","¿ùÆò±Õ","",".008",".007",".007",".006",".006",".004",".004",".004",".004",".004",".006",".007",".007",".006",".006",".004",".005",".004",".004",".004",".003",".004","0.003**",".005",".005",".005",".005",".004",".004",".004",".003",".003",".003",".003",".004",".005",".005",".005",".006",".004",".004",".004",".003",".003",".003",".003",".004",".004",".005",".005",".004",".004",".003",".003",".003",".003",".002",".002",".003",".004",".004",".004",".004",".003",".004",".003",".003",".003",".002",".002",".003",".003",".003",".003",".003",".003",".002",".003",".002",".002",".002",".002",".003",".003",".003",".003",".003","0.002**",".002",".002",".002",".002",".002",".002",".002",".003",".003",".002",".002",".002",".002",".001",".001",".001",".001",".002",".002",".002",".0017",".0017",".0018",".0014",".0015",".0012",".0012",".0011",".0012",".0014",".0016",".0018",
"°í¾ç","¿ùÆò±Õ","",".008",".007",".008",".006",".007",".005",".005",".004",".005",".003",".005",".007",".007",".007",".007",".004",".004",".004",".005",".004",".004",".004",".004",".006",".007",".006",".007",".005",".005",".005",".004",".004",".004",".004",".006",".006",".007",".007",".006",".005",".005",".004",".004",".004",".004",".004",".005",".007",".007",".007",".005",".004",".003",".003",".003",".003",".003",".003",".005",".005",".006",".005",".004",".003",".004",".003",".003",".003",".003",".003",".004",".004",".004",".004",".004",".003",".003",".003",".003",".003",".003",".003",".003",".004",".004",".004",".003",".003",".003",".003",".003",".003","0.003*",".003",".003",".003",".003",".003",".002",".003",".003",".002",".002",".002",".002",".002",".002",".003",".0028",".0032",".003",".0027",".0028",".0023",".0027",".002",".0024",".0029",".0032",".0045",
"±¤ÁÖ","¿ùÆò±Õ","",".008",".007",".007",".006",".006",".005",".005",".004",".004",".004",".007",".007",".007",".007",".007",".006",".005",".005",".005",".004",".004",".005",".005",".008",".008",".008",".005",".006",".006",".005",".004",".004",".004",".003",".006",".005",".006",".005",".007",".006",".003",".002",".004","0.004**",".003",".003",".004",".004",".004",".005",".004",".004",".003",".004",".005",".004",".004",".003",".004",".005",".006",".006",".007",".005",".007",".004",".002",".002",".001",".002",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".001",".002",".001",".001",".002",".002",".002",".0017",".0018",".0018",".0013",".0013",".0012",".0012",".0014",".0014",".0019",".002",".0019",
"±ºÆ÷","¿ùÆò±Õ","",".006",".005",".005",".005",".006",".004",".004",".003",".003",".003",".004",".005",".005",".005",".006",".004",".005",".005",".004",".004",".004","0.004*","0.003**","0.004**",".005",".005",".005",".005",".005",".005",".004",".004",".004",".004",".005",".005",".006",".005",".006",".005",".005",".005",".004",".004",".004",".004",".005",".006",".006",".005",".004",".004",".004",".004",".003",".003",".003",".003",".004",".004",".005",".004",".004",".003",".005",".004",".004","0.003*",".003",".003",".004",".004",".004",".003",".003",".003",".004",".004",".003",".003",".003",".003",".004",".005",".005",".005",".006",".006",".003",".004",".004",".003",".004",".004",".003",".002",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".003",".002",".002",".0022",".0022",".0018",".0021",".0024",".0024",".003",".0027",".0027",".0025",".0033",
"½ÃÈï","¿ùÆò±Õ","",".01",".008",".01",".01",".01",".008",".008",".006",".006",".005",".006",".008",".008",".007",".008",".007",".01",".007",".007",".007",".006",".006",".005",".007",".006",".006",".007",".008",".008",".007",".007",".007",".005",".004",".007",".007",".006",".007",".009",".009",".01",".008",".008",".005",".006",".004",".006",".007",".006",".006",".007",".007",".006",".006",".004",".004",".003",".003",".004",".005",".005",".005",".005",".005",".007",".006",".004",".003",".003",".003",".004",".004",".004",".004",".003",".004",".003",".004",".003",".003",".003",".004",".004",".004","0.004*",".004",".003",".003",".003",".003",".003",".004",".004",".004",".003",".003",".003",".003",".003",".003",".003",".002",".002",".002",".003",".003",".003",".003",".0028",".0027",".0028",".0026",".0028",".0027",".0026",".0026",".0027",".0032",".0033",".0034",
"ºÎÃµ","¿ùÆò±Õ","",".009",".008",".008",".007",".007",".006",".006",".005",".005",".005",".006",".007",".007",".007",".007",".006",".007",".006",".005",".005",".005",".006",".005",".007",".007",".007",".007",".006",".006",".005",".004",".004",".005",".004",".005",".006",".006",".006",".007",".006",".007",".005",".005",".005",".006",".005",".005",".005",".005",".005",".005",".005","0.004*",".005",".004",".003",".003",".004",".004",".005",".005",".005",".005",".004",".006",".004",".004",".005",".004",".005",".005",".005",".005",".005",".005",".005",".004",".004",".004",".004",".004",".004",".004",".005",".004",".004",".004",".004",".003",".003",".002",".002",".002",".002",".003",".003",".003",".002",".002",".002",".002",".001",".002",".001",".001",".002",".002",".002",".0021",".002",".0021",".0019",".0021",".002",".0021",".0018",".0019",".002",".0019",".0021",
"³²¾çÁÖ","¿ùÆò±Õ","",".006",".005",".005",".004",".004",".003",".003",".002",".003",".003",".004",".005",".005",".005",".005",".004",".004",".003",".003",".002",".002",".003",".003",".004",".004",".004",".004",".003",".003",".003",".002",".002",".002",".002",".003",".004",".004",".004",".003",".003",".003",".003",".002",".002",".002",".002",".003",".003",".004",".004",".003",".003",".002",".002",".003",".003",".002","0.002*",".003",".003",".004",".003",".003",".003",".004",".003",".003",".002",".002",".002",".003",".003",".003",".003",".003",".003",".002",".003",".002",".002",".003",".003",".003",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".0024",".0025",".0024",".0021",".0021",".002",".0018",".0018",".0019",".002",".0024",".0025",
"¿ëÀÎ","¿ùÆò±Õ","",".007",".007",".007",".006",".006",".004",".004",".004",".004",".005",".006",".006",".006",".006",".007",".005",".006",".005",".004",".004",".004",".005",".005",".006",".007",".006",".006",".005",".005",".005",".004",".005",".005",".005",".006",".005",".006",".005",".006",".005",".006",".005",".005",".004",".004",".004",".005",".005",".005",".005",".004",".004",".003",".004",".003",".003",".003",".003",".003",".004",".004",".003",".003",".003",".003",".003",".002",".002",".002",".002",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".002",".002",".003",".002",".002",".002",".002",".001",".001",".001",".001",".002",".001",".002",".0017",".0015",".0014",".0011",".0012",".0011",".001",".0011",".0011",".0013",".0015",".0015",
"±èÆ÷","¿ùÆò±Õ","",".007",".006",".006",".005",".006",".004",".004",".004",".004",".004",".005",".007",".007",".006",".006",".005",".005",".004",".004",".004",".003",".004",".004",".005",".005",".005",".006",".005",".004",".004",".004",".003",".003",".003",".004",".004",".004",".005",".005",".005",".005",".004",".004",".003",".004",".003",".004",".005",".005",".005",".005",".004",".003",".003",".003",".003",".003",".003",".004",".004",".004",".004",".004",".003",".005",".003",".003",".003",".003",".003",".003",".004",".004",".003",".003",".003",".003",".003",".003",".003","0.002*",".003",".003",".004",".004",".004",".003",".004",".003",".003",".003",".003",".003","0.003*","0.003*","0.003*",".003",".003",".002",".002",".002",".002",".002",".002",".002",".002",".003",".003",".0027",".0028",".0026",".0023",".0026",".0026",".0027",".0023",".0025",".0027",".003",".0035",
"¿À»ê","¿ùÆò±Õ","",".007",".006",".006",".005",".005",".004",".003",".003",".003",".003",".005",".006",".006",".006",".006",".004",".005",".004",".003",".003",".003",".004",".004",".005",".005",".005",".005",".005",".004",".004",".003",".004",".003",".003",".004",".005",".005",".005",".006",".004",".004",".004",".003",".003",".003",".003",".004",".004",".005",".005",".004",".004",".003",".003",".003",".003",".003",".003",".004",".004",".005",".004",".004",".004",".004",".003",".003",".003",".003",".003",".004",".003",".003",".003",".003",".003",".002",".002",".002",".002",".002",".003",".003",".003",".003",".003",".003",".003",".003",".003",".003",".002",".002",".003",".003",".004",".004",".003",".003",".003",".003",".003","0.003**",".002",".002",".002",".003",".003",".0028",".0028",".0029",".0024",".0023",".0022",".0021",".002",".002",".0023",".0023",".0024",
